Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.01,,11.81
2024-12-31,20.29,$1.69,11.98
2024-09-30,20.15,$1.56,12.95
2024-06-30,22.01,$2.09,10.51
2024-03-31,27.31,$2.33,11.7
2023-12-31,28.32,$1.94,14.61
2023-09-30,23.36,$1.92,12.19
2023-06-30,25.08,$2.11,11.9
2023-03-31,25.02,$2.59,9.65
2022-12-31,24.22,$2.93,8.26
2022-09-30,19.54,$3.81,5.12
2022-06-30,20.89,$3.06,6.83
2022-03-31,24.72,$1.77,13.95
2021-12-31,29.35,$2.12,13.86
2021-09-30,25.82,$2.38,10.86
2021-06-30,27.54,$2.17,12.7
2021-03-31,25.26,$2.92,8.64
2020-12-31,21.12,$2.54,8.31
2020-09-30,17.01,$1.99,8.55
2020-06-30,17.07,$1.39,12.25
2020-03-31,13.59,$-0.53,0.0
2019-12-31,20.83,$-0.37,0.0
2019-09-30,22.9,$0.07,331.95
2019-06-30,27.37,$1.19,23.06
2019-03-31,25.87,$3.12,8.3
2018-12-31,22.97,$3.85,5.97
2018-09-30,23.35,$3.95,5.92
2018-06-30,24.42,$2.96,8.26
2018-03-31,26.24,$2.42,10.86
2017-12-31,29.95,$1.68,17.86
2017-09-30,30.6,$1.90,16.13
2017-06-30,30.66,$2.52,12.17
2017-03-31,28.72,$3.16,9.07
2016-12-31,26.84,$3.10,8.67
2016-09-30,24.0,$2.79,8.6
2016-06-30,22.4,$2.57,8.7
2016-03-31,26.06,$2.46,10.61
2015-12-31,24.46,$3.12,7.85
2015-09-30,24.63,$3.55,6.94
2015-06-30,32.28,$4.02,8.04
2015-03-31,33.69,$4.13,8.16
2014-12-31,36.24,$3.74,9.69
2014-09-30,35.34,$3.33,10.6
2014-06-30,37.35,$2.97,12.57
2014-03-31,34.91,$2.92,11.97
2013-12-31,37.11,$3.17,11.69
2013-09-30,32.43,$3.11,10.42
2013-06-30,29.03,$2.59,11.2
2013-03-31,32.12,$2.04,15.78
2012-12-31,26.72,$1.75,15.27
2012-09-30,25.92,$1.54,16.88
2012-06-30,22.95,$2.13,10.78
2012-03-31,25.58,$2.27,11.25
2011-12-31,19.77,$2.17,9.12
2011-09-30,19.22,$2.24,8.59
2011-06-30,26.31,$1.84,14.33
2011-03-31,25.02,$1.99,12.55
2010-12-31,22.2,$2.17,10.21
2010-09-30,21.29,$2.34,9.11
2010-06-30,17.13,$2.09,8.19
2010-03-31,21.99,$1.52,14.46
2009-12-31,20.84,$1.31,15.96
