Martin Midstream Partners Price to Free Cash Flow Ratio Historical Data,Martin Midstream Partners Price to Free Cash Flow Ratio Historical Data,Martin Midstream Partners Price to Free Cash Flow Ratio Historical Data,Martin Midstream Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.68,,18.84
2024-12-31,3.59,$0.20,18.38
2024-09-30,3.65,$-0.11,0.0
2024-06-30,3.22,$0.54,5.92
2024-03-31,2.55,$1.60,1.59
2023-12-31,2.38,$2.80,0.85
2023-09-30,2.76,$3.05,0.9
2023-06-30,2.13,$1.76,1.21
2023-03-31,2.71,$0.61,4.47
2022-12-31,2.96,$-0.09,0.0
2022-09-30,3.35,$0.22,15.37
2022-06-30,3.91,$0.96,4.08
2022-03-31,4.12,$0.97,4.23
2021-12-31,2.61,$0.53,4.9
2021-09-30,3.13,$1.00,3.15
2021-06-30,2.95,$0.91,3.24
2021-03-31,2.41,$0.81,2.96
2020-12-31,1.39,$1.78,0.78
2020-09-30,1.13,$1.47,0.77
2020-06-30,1.15,$2.16,0.53
2020-03-31,1.04,$1.94,0.53
2019-12-31,3.7,$1.83,2.02
2019-09-30,3.97,$2.17,1.83
2019-06-30,5.97,$1.36,4.39
2019-03-31,10.06,$1.87,5.37
2018-12-31,8.0,$2.09,3.83
2018-09-30,8.69,$1.56,5.57
2018-06-30,9.95,$1.57,6.34
2018-03-31,9.42,$0.80,11.81
2017-12-31,9.47,$1.07,8.85
2017-09-30,10.19,$3.47,2.94
2017-06-30,11.2,$4.17,2.68
2017-03-31,12.44,$5.64,2.21
2016-12-31,11.13,$5.06,2.2
2016-09-30,11.81,$2.82,4.18
2016-06-30,13.11,$2.81,4.67
2016-03-31,11.0,$3.22,3.42
2015-12-31,11.32,$3.38,3.35
2015-09-30,12.37,$3.40,3.64
2015-06-30,15.25,$3.98,3.83
2015-03-31,17.07,$1.33,12.84
2014-12-31,12.6,$1.13,11.15
2014-09-30,17.07,$0.88,19.5
2014-06-30,18.46,$-1.54,0.0
2014-03-31,18.94,$-0.33,0.0
2013-12-31,18.49,$0.96,19.25
2013-09-30,19.94,$0.83,23.93
2013-06-30,18.4,$0.45,40.83
2013-03-31,15.77,$0.81,19.59
2012-12-31,12.44,$-2.61,0.0
2012-09-30,13.47,$-3.23,0.0
2012-06-30,12.55,$-0.49,0.0
2012-03-31,12.66,$-1.29,0.0
2011-12-31,12.64,$0.78,16.27
2011-09-30,11.66,$-0.04,0.0
2011-06-30,13.55,$0.82,16.49
2011-03-31,13.8,$1.48,9.34
2010-12-31,13.32,$1.25,10.62
2010-09-30,10.81,$1.84,5.87
2010-06-30,9.98,$0.95,10.46
2010-03-31,9.82,$2.31,4.25
2009-12-31,9.72,$2.12,4.58
