China Liberal Education Holdings Price to Free Cash Flow Ratio Historical Data,China Liberal Education Holdings Price to Free Cash Flow Ratio Historical Data,China Liberal Education Holdings Price to Free Cash Flow Ratio Historical Data,China Liberal Education Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.28,,inf
2023-12-31,0.18,0.0,0.0
2023-06-30,1.15,0.0,0.0
2022-12-31,1.0,0.0,0.0
2022-06-30,0.61,0.0,0.0
