IHuman Price to Free Cash Flow Ratio Historical Data,IHuman Price to Free Cash Flow Ratio Historical Data,IHuman Price to Free Cash Flow Ratio Historical Data,IHuman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.73,,6.41
2024-09-30,2.3,$0.43,5.4
2024-06-30,1.79,$0.43,4.2
2024-03-31,1.7,$0.43,3.99
2023-12-31,3.07,$0.43,7.21
2023-09-30,3.02,$0.49,6.19
2023-06-30,2.96,$0.49,6.06
2023-03-31,3.24,$0.49,6.64
2022-12-31,2.6,$0.49,5.33
2022-09-30,2.2,$0.02,126.44
2022-06-30,2.36,$0.02,135.63
2022-03-31,2.14,$0.02,122.99
2021-12-31,2.8,$0.02,160.92
