Retail Opportunity Investments Price to Free Cash Flow Ratio Historical Data,Retail Opportunity Investments Price to Free Cash Flow Ratio Historical Data,Retail Opportunity Investments Price to Free Cash Flow Ratio Historical Data,Retail Opportunity Investments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-19,17.4,,14.43
2024-09-30,15.73,$1.21,13.05
2024-06-30,12.31,$0.68,18.22
2024-03-31,12.55,$0.70,17.88
2023-12-31,13.57,$0.74,18.42
2023-09-30,11.85,$0.71,16.76
2023-06-30,12.79,$0.99,12.94
2023-03-31,13.07,$0.98,13.34
2022-12-31,13.91,$0.95,14.68
2022-09-30,12.62,$0.99,12.71
2022-06-30,14.33,$1.04,13.72
2022-03-31,17.46,$1.19,14.7
2021-12-31,17.53,$1.23,14.24
2021-09-30,15.43,$1.18,13.08
2021-06-30,15.55,$0.87,17.82
2021-03-31,13.89,$0.61,22.8
2020-12-31,11.64,$0.55,21.01
2020-09-30,9.05,$0.75,12.02
2020-06-30,9.85,$0.99,9.9
2020-03-31,7.21,$0.52,13.95
2019-12-31,15.11,$0.37,40.75
2019-09-30,15.42,$0.66,23.37
2019-06-30,14.34,$0.19,76.7
2018-12-31,12.99,$0.95,13.64
2018-09-30,15.1,$1.12,13.54
2018-06-30,15.34,$0.98,15.67
2018-03-31,14.0,$1.06,13.22
2017-12-31,15.63,$0.87,17.9
2019-03-31,14.35,$0.89,16.06
2017-09-30,14.76,$0.61,24.29
2017-06-30,14.76,$0.68,21.81
2017-03-31,16.02,$0.66,24.18
2016-12-31,15.96,$0.64,25.07
2016-09-30,16.44,$0.60,27.43
2016-06-30,16.09,$0.61,26.51
2016-03-31,14.81,$0.60,24.7
2015-12-31,13.05,$0.59,21.97
2015-09-30,11.94,$0.63,18.88
2015-06-30,11.16,$0.61,18.44
2015-03-31,12.94,$0.82,15.69
2014-12-31,11.75,$0.76,15.42
2014-09-30,10.19,$0.69,14.75
2014-06-30,10.8,$0.61,17.74
2014-03-31,10.15,$0.49,20.55
2013-12-31,9.89,$0.34,28.91
2013-09-30,9.18,$0.33,28.01
2013-06-30,9.14,$0.34,27.22
2013-03-31,9.12,$0.23,40.43
2012-12-31,8.27,$0.25,32.5
2012-09-30,8.18,$0.27,30.6
2012-06-30,7.58,$0.23,32.9
2012-03-31,7.49,$0.18,41.52
2011-12-31,7.29,$0.22,32.87
2011-09-30,6.75,$0.26,26.39
2011-06-30,6.5,$0.24,27.17
2011-03-31,6.55,$0.19,34.11
2010-12-31,5.89,$0.02,291.72
2010-09-30,5.66,$-0.15,0.0
