CASI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,CASI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,CASI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,CASI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.3,,0.0
2024-09-30,6.16,$-1.51,0.0
2024-06-30,5.5,$-1.86,0.0
2024-03-31,3.61,$-1.51,0.0
2023-12-31,7.16,$-1.51,0.0
2023-09-30,2.56,$-0.30,0.0
2023-06-30,2.5,$-1.80,0.0
2023-03-31,2.32,$-1.47,0.0
2022-12-31,1.79,$-1.95,0.0
2022-09-30,2.6,$-2.64,0.0
2022-06-30,2.86,$-2.58,0.0
2022-03-31,80.97,$-2.38,0.0
2021-12-31,80.0,$-2.63,0.0
2021-09-30,119.0,$-2.57,0.0
2021-06-30,155.0,$-2.56,0.0
2021-03-31,240.0,$-2.73,0.0
2020-12-31,295.0,$-2.48,0.0
2020-09-30,153.0,$-2.05,0.0
2020-06-30,250.0,$-2.11,0.0
2020-03-31,204.0,$-2.36,0.0
2019-12-31,309.0,$-2.47,0.0
2019-09-30,334.0,$-3.82,0.0
2019-06-30,320.0,$-3.80,0.0
2019-03-31,287.0,$-3.22,0.0
2018-12-31,402.0,$-3.51,0.0
2018-09-30,467.0,$-1.94,0.0
2018-06-30,823.0,$-1.74,0.0
2018-03-31,417.0,$-1.79,0.0
2017-12-31,325.0,$-1.19,0.0
2017-09-30,177.0,$-1.09,0.0
2017-06-30,105.0,$-1.06,0.0
2017-03-31,142.0,$-1.00,0.0
2016-12-31,115.0,$-1.09,0.0
2016-09-30,111.0,$-1.30,0.0
2016-06-30,117.0,$-1.52,0.0
2016-03-31,106.0,$-1.68,0.0
2015-12-31,96.0,$-1.71,0.0
2015-09-30,107.0,$-1.68,0.0
2015-06-30,179.0,$-1.56,0.0
2015-03-31,147.4,$-1.51,0.0
2014-12-31,133.0,$-1.48,0.0
2014-09-30,179.0,$-1.42,0.0
2014-06-30,180.0,$-1.58,0.0
2014-03-31,182.0,$-1.55,0.0
2013-12-31,167.1,$-1.27,0.0
2013-09-30,180.0,$-1.47,0.0
2013-06-30,202.0,$-1.49,0.0
2013-03-31,203.0,$-2.03,0.0
2012-12-31,138.0,$-1.19,0.0
2012-09-30,184.0,$-1.49,0.0
2012-06-30,184.0,$-2.40,0.0
2012-03-31,217.0,$-3.25,0.0
2011-12-31,95.0,$-3.58,0.0
2011-09-30,152.0,$-4.13,0.0
2011-06-30,226.0,$-4.77,0.0
2011-03-31,514.0,$-5.54,0.0
2010-12-31,508.0,$-5.13,0.0
2010-09-30,381.0,$-5.84,0.0
2010-06-30,443.63,$-6.96,0.0
2010-03-31,748.0,$-9.92,0.0
2009-12-31,880.0,$-12.80,0.0
