CION Investment Price to Free Cash Flow Ratio Historical Data,CION Investment Price to Free Cash Flow Ratio Historical Data,CION Investment Price to Free Cash Flow Ratio Historical Data,CION Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.94,,6.64
2024-12-31,11.4,$1.65,6.92
2024-09-30,11.9,$1.47,8.12
2024-06-30,12.12,$0.36,33.63
2024-03-31,11.0,$0.00,0.0
2023-12-31,11.31,$-1.78,0.0
2023-09-30,10.57,$0.37,28.86
2023-06-30,10.38,$0.76,13.58
2023-03-31,9.87,$0.89,11.14
2022-12-31,9.75,$0.62,15.63
2022-09-30,8.5,$-1.39,0.0
