Creative Media & Community Trust Price to Free Cash Flow Ratio Historical Data,Creative Media & Community Trust Price to Free Cash Flow Ratio Historical Data,Creative Media & Community Trust Price to Free Cash Flow Ratio Historical Data,Creative Media & Community Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,0.0
2024-12-31,0.23,$-1.21,0.0
2024-09-30,0.49,$-0.71,0.0
2024-06-30,2.55,$1.97,1.3
2024-03-31,3.96,$9.34,0.42
2023-12-31,3.43,$-26.53,0.0
2023-09-30,3.61,$-23.62,0.0
2023-06-30,4.36,$-27.12,0.0
2023-03-31,3.56,$-31.68,0.0
2022-12-31,4.19,$5.42,0.77
2022-09-30,5.38,$20.92,0.26
2022-06-30,5.9,$14.31,0.41
2022-03-31,6.35,$18.93,0.34
2021-12-31,5.97,$20.08,0.3
2021-09-30,7.28,$2.51,2.9
2021-06-30,7.11,$8.56,0.83
2021-03-31,10.16,$-2.76,0.0
2020-12-31,11.16,$-5.34,0.0
2020-09-30,7.68,$-75.30,0.0
2020-06-30,8.34,$69.81,0.12
2020-03-31,8.51,$148.33,0.06
2019-12-31,11.04,$569.06,0.02
2019-09-30,11.74,$646.89,0.02
2019-06-30,25.18,$510.20,0.05
2019-03-31,22.2,$445.03,0.05
2018-12-31,18.3,$-42.07,0.0
2018-09-30,16.75,$-65.28,0.0
2018-06-30,17.92,$115.13,0.16
2018-03-31,14.89,$243.96,0.06
2017-12-31,22.3,$415.15,0.05
2017-09-30,19.21,$436.06,0.04
2017-06-30,18.06,$270.47,0.07
2017-03-31,16.04,$136.29,0.12
2016-12-31,15.19,$44.03,0.34
2016-09-30,14.89,$71.60,0.21
2016-06-30,15.53,$49.77,0.31
2016-03-31,17.07,$50.85,0.34
2015-12-31,14.5,$38.98,0.37
2015-09-30,16.92,$4.24,3.99
2015-06-30,16.09,$6.83,2.36
2015-03-31,16.65,$-7.02,0.0
2014-12-31,13.34,$-6.47,0.0
2014-09-30,19.35,$-2.43,0.0
2014-06-30,18.77,$-1.26,0.0
2014-03-31,19.69,$12.53,1.57
2013-12-31,16.92,$11.55,1.46
2013-09-30,17.2,$59.72,0.29
2013-06-30,15.72,$113.66,0.14
2013-03-31,14.17,$55.28,0.26
2012-12-31,13.16,$11.63,1.13
2012-09-30,13.67,$-29.34,0.0
2012-06-30,13.76,$-111.21,0.0
2012-03-31,14.96,$-75.64,0.0
2011-12-31,12.02,$-51.10,0.0
2011-09-30,13.09,$-82.46,0.0
2011-06-30,13.57,$-94.76,0.0
2011-03-31,13.99,$-186.70,0.0
2010-12-31,13.44,$-246.92,0.0
2010-09-30,13.48,$-216.28,0.0
2010-06-30,12.51,$-136.38,0.0
2010-03-31,10.98,$13.77,0.8
2009-12-31,11.03,$81.44,0.14
