WinVest Acquisition Price to Free Cash Flow Ratio Historical Data,WinVest Acquisition Price to Free Cash Flow Ratio Historical Data,WinVest Acquisition Price to Free Cash Flow Ratio Historical Data,WinVest Acquisition Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.06,,0.0
2024-12-31,12.0,$-0.34,0.0
2024-09-30,11.86,$-0.52,0.0
2024-06-30,11.7,$-0.45,0.0
2024-03-31,11.21,$-0.37,0.0
2023-12-31,10.99,$-0.44,0.0
2023-09-30,10.91,$-0.24,0.0
2023-06-30,10.75,$-0.26,0.0
2023-03-31,10.58,$-0.22,0.0
2022-12-31,10.36,$-0.19,0.0
2022-09-30,10.03,$-0.45,0.0
