Safe & Green Holdings Price to Free Cash Flow Ratio Historical Data,Safe & Green Holdings Price to Free Cash Flow Ratio Historical Data,Safe & Green Holdings Price to Free Cash Flow Ratio Historical Data,Safe & Green Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.46,,0.0
2024-09-30,0.96,$-7.65,0.0
2024-06-30,2.87,$-8.52,0.0
2024-03-31,4.0,$-8.32,0.0
2023-12-31,9.42,$-10.03,0.0
2023-09-30,12.0,$-7.74,0.0
2023-06-30,19.0,$-6.62,0.0
2023-03-31,20.2,$-19.21,0.0
2022-12-31,27.4,$-12.59,0.0
2022-09-30,35.4,$-9.76,0.0
2022-06-30,33.2,$-8.42,0.0
2022-03-31,39.0,$-0.41,0.0
2021-12-31,37.6,$-11.27,0.0
2021-09-30,65.4,$-17.20,0.0
2021-06-30,110.0,$-20.43,0.0
2021-03-31,93.2,$-4.30,0.0
2020-12-31,122.0,$-14.95,0.0
2020-09-30,36.2,$-20.79,0.0
2020-06-30,53.4,$-49.74,0.0
2020-03-31,186.0,$-98.73,0.0
2019-12-31,62.76,$-186.08,0.0
2019-09-30,168.8,$-321.22,0.0
2019-06-30,288.0,$-298.77,0.0
2019-03-31,736.0,$-399.39,0.0
2018-12-31,1082.0,$-330.85,0.0
2018-09-30,1600.0,$-399.96,0.0
2018-06-30,2080.04,$-391.90,0.0
2018-03-31,1842.68,$-252.23,0.0
