Douglas Elliman Price to Free Cash Flow Ratio Historical Data,Douglas Elliman Price to Free Cash Flow Ratio Historical Data,Douglas Elliman Price to Free Cash Flow Ratio Historical Data,Douglas Elliman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.83,,0.0
2024-09-30,1.83,$-0.30,0.0
2024-06-30,1.16,$-0.45,0.0
2024-03-31,1.58,$-0.37,0.0
2023-12-31,2.95,$-0.44,0.0
2023-09-30,2.26,$-0.68,0.0
2023-06-30,2.22,$-0.60,0.0
2023-03-31,3.11,$-0.62,0.0
2022-12-31,4.07,$-0.29,0.0
2022-09-30,4.1,$1.56,2.64
