NVent Electric Price to Free Cash Flow Ratio Historical Data,NVent Electric Price to Free Cash Flow Ratio Historical Data,NVent Electric Price to Free Cash Flow Ratio Historical Data,NVent Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.86,,16.79
2024-12-31,68.16,$3.39,20.13
2024-09-30,70.08,$3.50,20.04
2024-06-30,76.22,$3.17,24.02
2024-03-31,74.83,$2.88,26.0
2023-12-31,58.44,$2.75,21.25
2023-09-30,52.22,$2.56,20.37
2023-06-30,50.76,$2.53,20.07
2023-03-31,42.01,$2.44,17.19
2022-12-31,37.47,$2.12,17.71
2022-09-30,30.62,$1.62,18.94
2022-06-30,30.19,$1.50,20.14
2022-03-31,33.35,$1.72,19.43
2021-12-31,36.26,$1.97,18.4
2021-09-30,30.68,$2.12,14.5
2021-06-30,29.48,$2.11,14.0
2021-03-31,26.18,$2.06,12.74
2020-12-31,21.69,$1.80,12.02
2020-09-30,16.33,$2.02,8.07
2020-06-30,17.13,$1.93,8.89
2020-03-31,15.27,$1.83,8.33
2019-12-31,23.0,$1.76,13.1
2019-09-30,19.66,$1.62,12.11
2019-06-30,21.95,$1.55,14.14
2019-03-31,23.74,$1.60,14.81
