Esquire Financial Holdings Price to Free Cash Flow Ratio Historical Data,Esquire Financial Holdings Price to Free Cash Flow Ratio Historical Data,Esquire Financial Holdings Price to Free Cash Flow Ratio Historical Data,Esquire Financial Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.42,,15.95
2024-12-31,79.5,$4.60,17.27
2024-09-30,65.07,$5.21,12.5
2024-06-30,47.38,$5.27,8.99
2024-03-31,47.1,$4.47,10.55
2023-12-31,49.42,$4.72,10.47
2023-09-30,45.08,$3.85,11.7
2023-06-30,45.02,$4.05,11.11
2023-03-31,38.36,$4.92,7.8
2022-12-31,42.35,$4.57,9.26
2022-09-30,36.67,$4.39,8.35
2022-06-30,32.45,$3.71,8.74
2022-03-31,32.67,$3.15,10.37
2021-12-31,30.62,$3.41,8.97
2021-09-30,27.86,$2.20,12.64
2021-06-30,23.04,$1.79,12.84
2021-03-31,22.17,$2.30,9.66
2020-12-31,18.65,$1.63,11.45
2020-09-30,14.58,$2.41,6.05
2020-06-30,16.43,$3.49,4.7
2020-03-31,14.63,$2.72,5.39
2019-12-31,25.34,$1.83,13.85
2019-09-30,24.11,$1.72,14.04
2019-06-30,24.45,$0.89,27.51
2019-03-31,22.12,$0.90,24.56
2018-12-31,21.09,$1.20,17.56
2018-09-30,24.26,$1.12,21.72
2018-06-30,25.65,$0.43,59.71
2018-03-31,23.72,$0.94,25.23
