Nine Energy Service Price to Free Cash Flow Ratio Historical Data,Nine Energy Service Price to Free Cash Flow Ratio Historical Data,Nine Energy Service Price to Free Cash Flow Ratio Historical Data,Nine Energy Service Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.23,,0.0
2024-12-31,1.12,$-0.03,0.0
2024-09-30,1.13,$0.15,7.6
2024-06-30,1.68,$-0.04,0.0
2024-03-31,2.24,$0.29,7.72
2023-12-31,2.68,$0.67,3.99
2023-09-30,4.12,$-0.14,0.0
2023-06-30,3.83,$0.61,6.32
2023-03-31,5.56,$-0.14,0.0
2022-12-31,14.53,$-0.27,0.0
2022-09-30,2.64,$-0.73,0.0
2022-06-30,2.65,$-1.15,0.0
2022-03-31,3.74,$-1.67,0.0
2021-12-31,1.0,$-1.73,0.0
2021-09-30,1.83,$-1.30,0.0
2021-06-30,2.94,$-1.22,0.0
2021-03-31,2.3,$-0.50,0.0
2020-12-31,2.72,$-0.22,0.0
2020-09-30,1.13,$0.15,7.58
2020-06-30,1.95,$2.15,0.91
2020-03-31,0.81,$1.90,0.43
2019-12-31,7.82,$1.42,5.51
2019-09-30,6.17,$2.31,2.67
2019-06-30,17.33,$0.92,18.94
2019-03-31,22.65,$0.95,23.97
2018-12-31,22.54,$1.92,11.74
