CME Group Price to Free Cash Flow Ratio Historical Data,CME Group Price to Free Cash Flow Ratio Historical Data,CME Group Price to Free Cash Flow Ratio Historical Data,CME Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,266.54,,26.68
2024-12-31,232.23,$9.99,23.24
2024-09-30,219.58,$10.09,21.77
2024-06-30,194.63,$9.71,20.05
2024-03-31,211.91,$9.35,22.66
2023-12-31,206.18,$9.39,21.95
2023-09-30,190.25,$9.21,20.65
2023-06-30,175.13,$8.65,20.25
2023-03-31,179.95,$8.57,21.0
2022-12-31,157.03,$8.26,19.01
2022-09-30,160.18,$7.49,21.39
2022-06-30,184.2,$7.40,24.91
2022-03-31,212.96,$7.01,30.39
2021-12-31,203.66,$6.45,31.58
2021-09-30,169.31,$6.20,27.31
2021-06-30,185.34,$5.26,35.23
2021-03-31,177.24,$6.63,26.73
2020-12-31,157.31,$7.02,22.4
2020-09-30,141.92,$7.20,19.71
2020-06-30,137.18,$8.57,16.01
2020-03-31,145.28,$7.04,20.65
2019-12-31,167.95,$6.78,24.79
2019-09-30,174.03,$6.23,27.94
2019-06-30,159.29,$5.75,27.72
2019-03-31,134.56,$6.13,21.97
2018-12-31,153.14,$6.76,22.65
2018-09-30,136.74,$6.75,20.25
2018-06-30,131.16,$6.58,19.93
2018-03-31,128.89,$5.80,22.2
2017-12-31,115.91,$4.91,23.62
2017-09-30,104.7,$5.03,20.83
2017-06-30,96.14,$4.92,19.53
2017-03-31,90.7,$4.80,18.89
2016-12-31,87.59,$4.84,18.1
2016-09-30,76.84,$4.54,16.93
2016-06-30,71.21,$4.48,15.9
2016-03-31,69.78,$4.55,15.32
2015-12-31,65.4,$4.20,15.58
2015-09-30,64.55,$4.50,14.36
2015-06-30,64.43,$3.83,16.83
2015-03-31,65.23,$3.54,18.43
2014-12-31,60.74,$3.45,17.62
2014-09-30,53.32,$3.69,14.46
2014-06-30,47.02,$3.34,14.08
2014-03-31,48.73,$3.96,12.31
2013-12-31,51.33,$4.03,12.74
2013-09-30,46.56,$3.25,14.32
2013-06-30,47.56,$3.58,13.29
2013-03-31,38.21,$3.71,10.31
2012-12-31,31.3,$3.69,8.48
2012-09-30,34.23,$3.75,9.13
2012-06-30,31.79,$4.31,7.38
2012-03-31,34.02,$3.67,9.26
2011-12-31,28.12,$3.52,7.99
2011-09-30,28.27,$3.63,7.79
2011-06-30,33.28,$3.25,10.22
2011-03-31,34.24,$3.57,9.58
2010-12-31,36.37,$3.61,10.08
2010-09-30,29.33,$3.50,8.38
2010-06-30,31.57,$3.51,8.99
2010-03-31,35.31,$3.11,11.35
2009-12-31,37.39,$2.78,13.45
