Ormat Technologies Price to Free Cash Flow Ratio Historical Data,Ormat Technologies Price to Free Cash Flow Ratio Historical Data,Ormat Technologies Price to Free Cash Flow Ratio Historical Data,Ormat Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,72.02,,0.0
2024-12-31,67.72,$-1.26,0.0
2024-09-30,76.82,$-2.34,0.0
2024-06-30,71.47,$-4.64,0.0
2024-03-31,65.87,$-4.09,0.0
2023-12-31,75.29,$-5.17,0.0
2023-09-30,69.33,$-6.02,0.0
2023-06-30,79.65,$-4.62,0.0
2023-03-31,83.8,$-4.90,0.0
2022-12-31,85.38,$-5.00,0.0
2022-09-30,85.0,$-3.87,0.0
2022-06-30,77.16,$-3.53,0.0
2022-03-31,80.46,$-3.49,0.0
2021-12-31,77.85,$-2.84,0.0
2021-09-30,65.29,$-3.76,0.0
2021-06-30,68.03,$-3.07,0.0
2021-03-31,76.7,$-1.40,0.0
2020-12-31,88.05,$-1.07,0.0
2020-09-30,57.57,$-0.92,0.0
2020-06-30,61.73,$-1.59,0.0
2020-03-31,65.68,$-1.37,0.0
2019-12-31,72.21,$-0.85,0.0
2019-09-30,71.89,$-0.09,0.0
2019-06-30,61.25,$0.01,0.0
2019-03-31,53.19,$-0.77,0.0
2018-12-31,50.34,$-2.21,0.0
2018-09-30,51.98,$-1.97,0.0
2018-06-30,51.0,$-1.65,0.0
2018-03-31,53.96,$-1.56,0.0
2017-12-31,60.95,$-0.27,0.0
2017-09-30,58.11,$-1.06,0.0
2017-06-30,55.77,$-0.92,0.0
2017-03-31,54.17,$0.59,91.1
2016-12-31,50.74,$0.15,345.87
2016-09-30,45.74,$1.65,27.65
2016-06-30,41.29,$1.27,32.47
2016-03-31,38.85,$-0.16,0.0
2015-12-31,34.09,$0.76,44.63
2015-09-30,31.76,$0.24,132.17
2015-06-30,35.11,$1.56,22.44
2015-03-31,35.37,$1.44,24.55
2014-12-31,25.23,$1.35,18.64
2014-09-30,24.34,$0.93,26.22
2014-06-30,26.66,$-0.47,0.0
2014-03-31,27.71,$-1.14,0.0
2013-12-31,25.07,$-2.59,0.0
2013-09-30,24.63,$-2.73,0.0
2013-06-30,21.6,$-3.69,0.0
2013-03-31,18.96,$-3.33,0.0
2012-12-31,17.71,$-3.16,0.0
2012-09-30,17.22,$-3.93,0.0
2012-06-30,19.6,$-2.74,0.0
2012-03-31,18.43,$-2.61,0.0
2011-12-31,16.49,$-3.01,0.0
2011-09-30,14.71,$-3.28,0.0
2011-06-30,20.09,$-3.78,0.0
2011-03-31,23.08,$-4.30,0.0
2010-12-31,26.89,$-4.00,0.0
2010-09-30,26.47,$-3.09,0.0
2010-06-30,25.62,$-3.25,0.0
2010-03-31,25.45,$-3.44,0.0
2009-12-31,34.08,$-3.51,0.0
