Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data,Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data,Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data,Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.6,,632.8
2024-12-31,42.26,$0.07,613.35
2024-09-30,42.5,$1.78,23.9
2024-06-30,38.28,$5.23,7.32
2024-03-31,37.72,$3.71,10.18
2023-12-31,38.82,$3.00,12.93
2023-09-30,36.92,$-2.68,0.0
2023-06-30,46.85,$-0.86,0.0
2023-03-31,39.77,$0.35,113.72
2022-12-31,37.95,$1.18,32.24
2022-09-30,41.97,$6.05,6.94
2022-06-30,39.4,$4.85,8.12
2022-03-31,34.91,$5.38,6.49
2021-12-31,33.19,$5.81,5.72
2021-09-30,34.44,$6.46,5.33
2021-06-30,31.21,$6.68,4.67
2021-03-31,26.16,$6.47,4.04
2020-12-31,22.69,$2.36,9.61
2020-09-30,19.47,$2.36,8.27
2020-06-30,15.31,$1.83,8.39
2020-03-31,5.8,$1.09,5.33
2019-12-31,19.8,$4.97,3.98
2019-09-30,18.86,$7.09,2.66
2019-06-30,18.79,$5.90,3.19
2019-03-31,18.54,$5.98,3.1
2018-12-31,16.28,$2.79,5.83
2018-09-30,18.45,$-0.72,0.0
2018-06-30,14.61,$-0.03,0.0
2018-03-31,14.59,$-0.20,0.0
2017-12-31,15.95,$2.73,5.83
2017-09-30,15.36,$3.16,4.86
2017-06-30,15.76,$3.41,4.63
2017-03-31,15.67,$3.77,4.16
2016-12-31,13.18,$3.97,3.32
2016-09-30,12.82,$3.27,3.91
2016-06-30,11.69,$2.85,4.1
2016-03-31,13.49,$2.63,5.12
2015-12-31,15.01,$2.01,7.48
2015-09-30,12.49,$2.76,4.53
2015-06-30,18.8,$2.88,6.53
2015-03-31,17.55,$3.06,5.74
2014-12-31,14.13,$3.13,4.51
2014-09-30,16.02,$2.08,7.71
2014-06-30,13.37,$1.90,7.03
2014-03-31,12.76,$1.15,11.1
2013-12-31,11.97,$0.45,26.36
2013-09-30,11.42,$0.82,13.97
