Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.42,,8.78
2024-12-31,56.56,$6.88,8.22
2024-09-30,51.17,$6.72,7.61
2024-06-30,40.46,$6.31,6.42
2024-03-31,52.22,$6.07,8.6
2023-12-31,48.85,$6.09,8.02
2023-09-30,54.7,$5.61,9.75
2023-06-30,59.21,$5.04,11.75
2023-03-31,63.66,$5.20,12.25
2022-12-31,65.57,$5.57,11.78
2022-09-30,64.29,$5.84,11.0
2022-06-30,69.63,$6.48,10.74
2022-03-31,65.58,$6.82,9.62
2021-12-31,55.1,$6.79,8.12
2021-09-30,52.29,$6.55,7.98
2021-06-30,58.13,$5.19,11.2
2021-03-31,54.92,$5.84,9.4
2020-12-31,53.55,$5.89,9.09
2020-09-30,51.25,$5.44,9.42
2020-06-30,49.61,$6.01,8.25
2020-03-31,46.65,$5.24,8.9
2019-12-31,53.34,$4.31,12.38
2019-09-30,41.79,$5.33,7.85
2019-06-30,37.05,$4.52,8.2
2019-03-31,38.64,$3.89,9.93
2018-12-31,41.72,$3.74,11.17
2018-09-30,49.51,$2.26,21.95
2018-06-30,43.82,$2.50,17.55
2018-03-31,49.76,$2.78,17.87
2017-12-31,47.9,$2.55,18.75
2017-09-30,49.52,$2.68,18.49
2017-06-30,42.99,$2.43,17.72
2017-03-31,41.65,$1.72,24.25
2016-12-31,44.47,$1.10,40.54
2016-09-30,40.75,$0.82,49.95
2016-06-30,55.58,$0.35,157.1
2016-03-31,48.02,$0.19,248.7
2015-12-31,51.41,$0.77,67.17
2015-09-30,44.0,$0.64,69.07
2015-06-30,48.88,$0.94,51.9
2015-03-31,47.11,$1.56,30.14
2014-12-31,43.11,$1.57,27.46
2014-09-30,36.89,$2.07,17.82
2014-06-30,34.7,$2.15,16.12
2014-03-31,36.91,$2.44,15.14
2013-12-31,37.76,$1.81,20.86
2013-09-30,32.41,$1.43,22.69
2013-06-30,31.05,$3.56,8.73
2013-03-31,28.38,$3.30,8.59
2012-12-31,22.22,$3.79,5.87
2012-09-30,22.78,$4.19,5.44
2012-06-30,24.03,$2.46,9.76
2012-03-31,22.33,$2.52,8.85
2011-12-31,23.09,$2.61,8.86
2011-09-30,20.35,$2.71,7.52
2011-06-30,18.78,$2.48,7.58
2011-03-31,16.95,$2.40,7.07
2010-12-31,16.56,$2.36,7.03
2010-09-30,16.95,$2.37,7.15
2010-06-30,15.42,$2.24,6.87
2010-03-31,16.3,$2.00,8.14
2009-12-31,15.23,$1.97,7.74
