O'Reilly Automotive Price to Free Cash Flow Ratio Historical Data,O'Reilly Automotive Price to Free Cash Flow Ratio Historical Data,O'Reilly Automotive Price to Free Cash Flow Ratio Historical Data,O'Reilly Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1343.15,,38.6
2024-12-31,1185.8,$34.79,34.08
2024-09-30,1151.6,$33.44,34.44
2024-06-30,1056.06,$34.11,30.96
2024-03-31,1128.88,$33.35,33.85
2023-12-31,950.08,$33.53,28.33
2023-09-30,908.86,$38.37,23.68
2023-06-30,955.3,$41.70,22.91
2023-03-31,848.98,$39.16,21.68
2022-12-31,844.03,$40.02,21.09
2022-09-30,703.35,$38.55,18.24
2022-06-30,631.76,$36.41,17.35
2022-03-31,684.96,$37.38,18.32
2021-12-31,706.23,$39.85,17.72
2021-09-30,611.06,$37.50,16.3
2021-06-30,566.21,$35.70,15.86
2021-03-31,507.25,$38.96,13.02
2020-12-31,452.57,$32.05,14.12
2020-09-30,461.08,$27.59,16.71
2020-06-30,421.67,$24.54,17.18
2020-03-31,301.05,$14.66,20.53
2019-12-31,438.26,$13.98,31.35
2019-09-30,398.51,$15.88,25.1
2019-06-30,369.32,$14.07,26.24
2019-03-31,388.3,$14.81,26.22
2018-12-31,344.33,$14.93,23.07
2018-09-30,347.32,$14.32,24.25
2018-06-30,273.57,$13.15,20.8
2018-03-31,247.38,$11.44,21.62
2017-12-31,240.54,$10.53,22.85
2017-09-30,215.37,$10.22,21.07
2017-06-30,218.74,$9.77,22.38
2017-03-31,269.84,$9.54,28.3
2016-12-31,278.41,$10.75,25.9
2016-09-30,280.11,$10.53,26.6
2016-06-30,271.1,$10.45,25.95
2016-03-31,273.66,$10.21,26.81
2015-12-31,253.42,$9.20,27.54
2015-09-30,249.73,$8.47,29.47
2015-06-30,225.98,$7.94,28.47
2015-03-31,216.24,$7.82,27.64
2014-12-31,192.62,$7.20,26.76
2014-09-30,150.36,$7.15,21.03
2014-06-30,150.6,$6.56,22.94
2014-03-31,148.39,$5.71,26.01
2013-12-31,128.71,$4.63,27.83
2013-09-30,127.59,$4.77,26.75
2013-06-30,112.62,$5.82,19.34
2013-03-31,102.44,$6.46,15.85
2012-12-31,89.42,$7.74,11.56
2012-09-30,83.62,$8.16,10.25
2012-06-30,83.77,$7.11,11.78
2012-03-31,91.35,$7.02,13.02
2011-12-31,79.95,$5.79,13.8
2011-09-30,66.63,$4.58,14.55
2011-06-30,65.51,$4.10,15.98
2011-03-31,57.46,$3.22,17.84
2010-12-31,60.42,$2.40,25.2
2010-09-30,53.2,$1.52,35.0
2010-06-30,47.56,$0.89,53.27
2010-03-31,41.71,$0.13,313.61
2009-12-31,38.12,$-0.91,0.0
