Albemarle Price to Free Cash Flow Ratio Historical Data,Albemarle Price to Free Cash Flow Ratio Historical Data,Albemarle Price to Free Cash Flow Ratio Historical Data,Albemarle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,77.03,,0.0
2024-12-31,86.08,$-8.12,0.0
2024-09-30,94.33,$-11.99,0.0
2024-06-30,94.69,$-10.76,0.0
2024-03-31,130.1,$-13.69,0.0
2023-12-31,142.2,$-7.00,0.0
2023-09-30,166.9,$3.95,42.28
2023-06-30,218.5,$8.18,26.7
2023-03-31,216.12,$8.29,26.06
2022-12-31,211.64,$5.49,38.58
2022-09-30,257.65,$-2.66,0.0
2022-06-30,203.33,$-8.89,0.0
2022-03-31,214.83,$-5.25,0.0
2021-12-31,226.63,$-5.23,0.0
2021-09-30,211.92,$-0.38,0.0
2021-06-30,162.76,$1.40,115.9
2021-03-31,140.84,$-0.12,0.0
2020-12-31,141.86,$-0.48,0.0
2020-09-30,85.62,$-0.27,0.0
2020-06-30,73.76,$-1.19,0.0
2020-03-31,53.58,$-0.29,0.0
2019-12-31,69.01,$-1.15,0.0
2019-09-30,65.33,$-2.91,0.0
2019-06-30,65.82,$-2.83,0.0
2019-03-31,76.25,$-2.73,0.0
2018-12-31,71.37,$-1.41,0.0
2018-09-30,92.05,$0.01,0.0
2018-06-30,86.74,$0.72,120.5
2018-03-31,84.97,$-0.46,0.0
2017-12-31,116.79,$-0.12,0.0
2017-09-30,124.16,$1.00,124.77
2017-06-30,95.89,$2.05,46.87
2017-03-31,95.71,$3.99,23.97
2016-12-31,77.75,$4.76,16.34
2016-09-30,76.96,$2.60,29.63
2016-06-30,71.11,$2.36,30.16
2016-03-31,57.1,$2.31,24.71
2015-12-31,49.77,$1.19,41.7
2015-09-30,38.95,$1.68,23.12
2015-06-30,48.48,$1.88,25.81
2015-03-31,46.13,$3.16,14.59
2014-12-31,52.21,$4.83,10.81
2014-09-30,50.9,$5.56,9.15
2014-06-30,61.53,$5.54,11.11
2014-03-31,56.94,$4.37,13.02
2013-12-31,54.11,$3.29,16.44
2013-09-30,53.54,$3.57,15.01
2013-06-30,52.78,$2.56,20.61
2013-03-31,52.77,$2.03,25.95
2012-12-31,52.24,$2.31,22.59
2012-09-30,44.16,$2.48,17.82
2012-06-30,49.81,$3.04,16.36
2012-03-31,53.2,$3.85,13.82
2011-12-31,42.74,$3.24,13.18
2011-09-30,33.4,$2.06,16.18
2011-06-30,57.01,$2.53,22.5
2011-03-31,49.11,$2.91,16.86
2010-12-31,45.7,$2.78,16.47
2010-09-30,38.25,$3.34,11.44
2010-06-30,32.34,$3.38,9.57
2010-03-31,34.61,$3.18,10.9
2009-12-31,29.43,$2.80,10.51
