TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,116.25,,30.65
2024-10-31,112.68,$3.79,29.71
2024-07-31,112.29,$3.86,29.09
2024-04-30,93.13,$3.69,25.25
2024-01-31,93.62,$3.74,25.03
2023-10-31,86.55,$3.97,21.79
2023-07-31,84.71,$3.90,21.7
2023-04-30,76.84,$3.36,22.89
2023-01-31,79.51,$2.23,35.65
2022-10-31,69.74,$0.61,114.94
2022-07-31,58.88,$0.66,89.18
2022-04-30,58.68,$1.40,42.03
2022-01-31,68.67,$1.65,41.5
2021-10-31,62.25,$1.13,54.85
2021-07-31,65.17,$3.79,17.18
2021-04-30,66.99,$5.56,12.04
2021-01-31,60.2,$3.29,18.31
2020-10-31,47.75,$4.76,10.02
2020-07-31,48.87,$1.96,24.9
2020-04-30,46.11,$-0.36,0.0
2020-01-31,55.3,$2.32,23.85
2019-10-31,53.78,$1.80,29.94
2019-07-31,50.9,$1.84,27.74
2019-04-30,50.98,$1.85,27.48
2019-01-31,46.01,$2.35,19.55
2018-10-31,50.65,$1.94,26.08
2018-07-31,44.65,$1.84,24.23
2018-04-30,38.78,$1.74,22.28
2018-01-31,36.56,$1.52,24.0
2017-10-31,31.62,$1.80,17.58
2017-07-31,31.72,$1.91,16.59
2017-04-30,35.34,$1.97,17.94
2017-01-31,33.55,$1.96,17.13
2016-10-31,32.91,$1.79,18.38
2016-07-31,36.35,$1.64,22.2
2016-04-30,33.61,$1.47,22.89
2016-01-31,31.48,$1.51,20.81
2015-10-31,32.25,$1.43,22.55
2015-07-31,30.67,$1.40,21.88
2015-04-30,28.26,$1.47,19.29
2015-01-31,28.8,$1.49,19.33
2014-10-31,27.58,$1.33,20.69
2014-07-31,23.14,$1.39,16.61
2014-04-30,25.19,$1.31,19.19
2014-01-31,24.77,$1.14,21.76
2013-10-31,26.19,$1.12,23.42
2013-07-31,22.36,$1.03,21.78
2013-04-30,20.9,$1.12,18.65
2013-01-31,19.31,$1.39,13.9
2012-10-31,17.74,$1.48,12.02
2012-07-31,18.82,$1.37,13.74
2012-04-30,17.68,$1.07,16.54
2012-01-31,14.4,$0.72,20.03
2011-10-31,12.42,$0.55,22.51
2011-07-31,11.61,$0.50,23.19
2011-04-30,11.22,$0.50,22.44
2011-01-31,9.89,$0.78,12.66
2010-10-31,9.54,$0.86,11.13
2010-07-31,8.6,$0.97,8.87
2010-04-30,9.57,$1.14,8.43
2010-01-31,7.83,$1.08,7.26
2009-10-31,7.67,$0.89,8.62
