Immunic Price to Free Cash Flow Ratio Historical Data,Immunic Price to Free Cash Flow Ratio Historical Data,Immunic Price to Free Cash Flow Ratio Historical Data,Immunic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.14,,0.0
2024-09-30,1.65,$-0.94,0.0
2024-06-30,1.11,$-1.12,0.0
2024-03-31,1.32,$-1.40,0.0
2023-12-31,1.5,$-1.61,0.0
2023-09-30,1.47,$-1.69,0.0
2023-06-30,2.51,$-1.74,0.0
2023-03-31,1.49,$-1.76,0.0
2022-12-31,1.4,$-2.05,0.0
2022-09-30,3.16,$-2.81,0.0
2022-06-30,3.47,$-2.80,0.0
2022-03-31,11.3,$-3.65,0.0
2021-12-31,9.57,$-3.52,0.0
2021-09-30,8.85,$-3.55,0.0
2021-06-30,12.26,$-3.28,0.0
2021-03-31,15.94,$-2.54,0.0
2020-12-31,15.29,$-2.95,0.0
2020-09-30,18.57,$-3.16,0.0
2020-06-30,12.12,$-3.41,0.0
2020-03-31,6.05,$1.88,3.22
2019-12-31,9.7,$-3.38,0.0
2019-09-30,10.0,$-6.07,0.0
2019-06-30,11.47,$-8.12,0.0
2019-03-31,7.88,$-5.34,0.0
2018-12-31,7.45,$-11.54,0.0
2018-09-30,11.02,$-19.24,0.0
2018-06-30,274.0,$-25.86,0.0
2018-03-31,272.0,$-40.00,0.0
2017-12-31,238.0,$-41.22,0.0
2017-09-30,202.0,$-41.45,0.0
2017-06-30,116.0,$-42.38,0.0
2017-03-31,160.0,$-46.80,0.0
2016-12-31,174.0,$-46.30,0.0
2016-09-30,244.8,$-45.91,0.0
2016-06-30,248.0,$-56.40,0.0
2016-03-31,362.8,$-72.69,0.0
2015-12-31,460.8,$-83.16,0.0
2015-09-30,161.6,$-118.29,0.0
2015-06-30,844.0,$-110.88,0.0
2015-03-31,1000.4,$-128.89,0.0
