LM Funding America Price to Free Cash Flow Ratio Historical Data,LM Funding America Price to Free Cash Flow Ratio Historical Data,LM Funding America Price to Free Cash Flow Ratio Historical Data,LM Funding America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.48,,0.0
2024-09-30,2.66,$-1.33,0.0
2024-06-30,4.05,$-1.79,0.0
2024-03-31,3.66,$-2.33,0.0
2023-12-31,3.7,$-2.19,0.0
2023-09-30,2.93,$-4.10,0.0
2023-06-30,4.2,$-5.60,0.0
2023-03-31,4.68,$-7.93,0.0
2022-12-31,3.31,$-10.43,0.0
2022-09-30,5.82,$-21.05,0.0
2022-06-30,4.89,$-22.62,0.0
2022-03-31,17.16,$-17.62,0.0
2021-12-31,29.16,$-8.63,0.0
2021-09-30,24.54,$-0.35,0.0
2021-06-30,25.74,$-1.95,0.0
2021-03-31,38.7,$-4.57,0.0
2020-12-31,20.1,$-13.03,0.0
2020-09-30,19.71,$-11.00,0.0
2020-06-30,41.1,$-8.25,0.0
2020-03-31,17.4,$-11.59,0.0
2019-12-31,23.25,$-11.19,0.0
2019-09-30,27.6,$-9.53,0.0
2019-06-30,36.3,$-28.98,0.0
2019-03-31,41.4,$-18.86,0.0
2018-12-31,35.4,$-22.82,0.0
2018-09-30,150.0,$-27.89,0.0
2018-06-30,131.62,$-33.65,0.0
2018-03-31,249.0,$-96.79,0.0
2017-12-31,474.0,$-162.39,0.0
2017-09-30,525.0,$-244.74,0.0
2017-06-30,1249.95,$-336.10,0.0
2017-03-31,1234.86,$-352.85,0.0
2016-12-31,1221.0,$-329.08,0.0
2016-09-30,2424.0,$-240.91,0.0
