Tactile Systems Technology Price to Free Cash Flow Ratio Historical Data,Tactile Systems Technology Price to Free Cash Flow Ratio Historical Data,Tactile Systems Technology Price to Free Cash Flow Ratio Historical Data,Tactile Systems Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.69,,8.63
2024-12-31,17.13,$1.59,10.8
2024-09-30,14.61,$1.70,8.61
2024-06-30,11.94,$1.46,8.17
2024-03-31,16.25,$1.50,10.83
2023-12-31,14.3,$1.45,9.88
2023-09-30,14.05,$0.86,16.26
2023-06-30,24.93,$0.76,32.7
2023-03-31,16.42,$0.30,53.98
2022-12-31,11.48,$0.17,66.98
2022-09-30,7.79,$0.22,35.39
2022-06-30,7.3,$0.09,80.22
2022-03-31,20.16,$-0.09,0.0
2021-12-31,19.03,$0.03,710.07
2021-09-30,44.45,$0.02,2029.68
2021-06-30,52.0,$0.36,144.81
2021-03-31,54.49,$-0.04,0.0
2020-12-31,44.94,$0.04,1182.63
2020-09-30,36.59,$-0.25,0.0
2020-06-30,41.43,$-0.55,0.0
2020-03-31,40.16,$-0.15,0.0
2019-12-31,67.51,$-0.15,0.0
2019-09-30,42.32,$0.09,482.55
2019-06-30,56.92,$0.36,156.89
2019-03-31,52.72,$0.42,125.2
2018-12-31,45.55,$0.25,183.15
2018-09-30,71.05,$0.19,372.38
2018-06-30,52.0,$0.10,500.48
2018-03-31,31.8,$-0.06,0.0
2017-12-31,28.98,$0.02,1227.97
2017-09-30,30.95,$0.21,148.73
2017-06-30,28.58,$0.34,83.84
