Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.52,,18.69
2024-12-31,50.52,$2.49,20.3
2024-09-30,59.18,$6.84,8.65
2024-06-30,59.39,$5.92,10.03
2024-03-31,61.19,$9.70,6.31
2023-12-31,69.7,$5.47,12.74
2023-09-30,72.35,$0.97,74.67
2023-06-30,72.09,$6.44,11.2
2023-03-31,75.54,$2.84,26.6
2022-12-31,87.56,$3.83,22.83
2022-09-30,75.55,$4.96,15.23
2022-06-30,72.54,$2.98,24.34
2022-03-31,83.99,$6.87,12.23
2021-12-31,62.57,$9.59,6.53
2021-09-30,55.24,$5.83,9.47
2021-06-30,55.45,$0.30,187.91
2021-03-31,51.87,$-3.97,0.0
2020-12-31,45.56,$-5.68,0.0
2020-09-30,41.71,$-6.15,0.0
2020-06-30,35.51,$-7.06,0.0
2020-03-31,30.99,$-8.66,0.0
2019-12-31,40.51,$-11.12,0.0
2019-09-30,35.6,$-9.86,0.0
2019-06-30,35.04,$-9.12,0.0
2019-03-31,36.73,$-7.20,0.0
2018-12-31,34.6,$-9.92,0.0
2018-09-30,42.15,$-12.79,0.0
2018-06-30,38.17,$-14.13,0.0
2018-03-31,35.85,$-16.02,0.0
2017-12-31,32.87,$-12.26,0.0
2017-09-30,34.58,$-20.76,0.0
2017-06-30,33.41,$-15.63,0.0
2017-03-31,36.89,$-15.16,0.0
2016-12-31,36.31,$-12.50,0.0
2016-09-30,33.31,$1.80,18.48
2016-06-30,33.65,$-0.36,0.0
2016-03-31,28.26,$0.98,28.95
2015-12-31,28.28,$0.93,30.28
2015-09-30,31.73,$0.78,40.8
2015-06-30,36.69,$5.26,6.98
2015-03-31,35.88,$6.68,5.37
2014-12-31,39.13,$6.17,6.34
2014-09-30,38.27,$5.96,6.42
2014-06-30,32.88,$4.51,7.29
2014-03-31,32.17,$5.51,5.84
2013-12-31,31.99,$6.51,4.92
2013-09-30,27.03,$9.60,2.82
2013-06-30,24.75,$7.73,3.2
2013-03-31,24.48,$4.29,5.71
2012-12-31,19.76,$2.44,8.12
2012-09-30,19.47,$-0.60,0.0
2012-06-30,21.01,$0.94,22.47
2012-03-31,22.41,$9.85,2.28
2011-12-31,20.13,$3.32,6.07
2011-09-30,17.36,$-2.34,0.0
2011-06-30,20.98,$-7.31,0.0
2011-03-31,24.93,$-17.94,0.0
2010-12-31,20.73,$-7.31,0.0
2010-09-30,21.89,$-3.43,0.0
2010-06-30,17.62,$0.72,24.55
2010-03-31,19.61,$-3.75,0.0
2009-12-31,21.14,$0.72,29.45
