Blackbaud Price to Free Cash Flow Ratio Historical Data,Blackbaud Price to Free Cash Flow Ratio Historical Data,Blackbaud Price to Free Cash Flow Ratio Historical Data,Blackbaud Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.93,,14.13
2024-12-31,73.92,$4.52,16.34
2024-09-30,84.68,$3.01,28.13
2024-06-30,76.17,$3.34,22.83
2024-03-31,74.14,$3.36,22.08
2023-12-31,86.7,$2.52,34.37
2023-09-30,70.32,$2.78,25.27
2023-06-30,71.18,$2.47,28.76
2023-03-31,69.3,$2.55,27.15
2022-12-31,58.86,$2.58,22.85
2022-09-30,44.06,$3.26,13.52
2022-06-30,58.07,$2.73,21.24
2022-03-31,59.87,$3.13,19.13
2021-12-31,78.98,$3.35,23.59
2021-09-30,70.35,$3.24,21.69
2021-06-30,76.57,$2.88,26.55
2021-03-31,71.08,$2.72,26.14
2020-12-31,57.56,$1.56,36.83
2020-09-30,55.83,$2.01,27.79
2020-06-30,57.08,$2.45,23.28
2020-03-31,55.55,$2.25,24.67
2019-12-31,79.46,$2.57,30.93
2019-09-30,90.05,$2.67,33.72
2019-06-30,83.12,$2.58,32.19
2019-03-31,79.24,$2.65,29.88
2018-12-31,62.42,$3.10,20.12
2018-09-30,100.53,$2.95,34.06
2018-06-30,101.38,$2.99,33.96
2018-03-31,100.62,$2.79,36.11
2017-12-31,93.28,$2.88,32.35
2017-09-30,86.57,$2.90,29.81
2017-06-30,84.43,$2.55,33.14
2017-03-31,75.38,$2.53,29.74
2016-12-31,62.82,$2.32,27.13
2016-09-30,65.0,$2.05,31.64
2016-06-30,66.41,$1.83,36.28
2016-03-31,61.39,$1.93,31.81
2015-12-31,64.15,$2.05,31.36
2015-09-30,54.56,$1.89,28.83
2015-06-30,55.25,$2.00,27.62
2015-03-31,45.86,$1.90,24.14
2014-12-31,41.76,$2.06,20.25
2014-09-30,37.82,$2.03,18.64
2014-06-30,34.29,$2.07,16.6
2014-03-31,29.93,$1.85,16.18
2013-12-31,35.87,$1.85,19.4
2013-09-30,37.07,$1.88,19.67
2013-06-30,30.82,$1.64,18.83
2013-03-31,27.92,$1.23,22.67
2012-12-31,21.42,$1.05,20.42
2012-09-30,22.32,$0.79,28.12
2012-06-30,23.84,$0.80,29.72
2012-03-31,30.72,$1.08,28.4
2011-12-31,25.51,$1.52,16.77
2011-09-30,20.42,$1.40,14.53
2011-06-30,25.28,$1.32,19.14
2011-03-31,24.74,$1.37,18.12
2010-12-31,23.41,$1.03,22.77
2010-09-30,21.63,$1.46,14.86
2010-06-30,19.49,$1.54,12.68
2010-03-31,22.47,$1.65,13.59
2009-12-31,20.96,$1.87,11.24
