Avinger Price to Free Cash Flow Ratio Historical Data,Avinger Price to Free Cash Flow Ratio Historical Data,Avinger Price to Free Cash Flow Ratio Historical Data,Avinger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-14,0.47,,0.0
2024-09-30,0.95,$-7.56,0.0
2024-06-30,1.86,$-11.12,0.0
2024-03-31,3.1,$-13.89,0.0
2023-12-31,2.71,$-18.37,0.0
2023-09-30,5.39,$-25.08,0.0
2023-06-30,10.95,$-24.84,0.0
2023-03-31,12.3,$-28.95,0.0
2022-12-31,16.28,$-40.31,0.0
2022-09-30,17.25,$-42.71,0.0
2022-06-30,21.9,$-50.84,0.0
2022-03-31,54.45,$-53.21,0.0
2021-12-31,135.0,$-49.95,0.0
2021-09-30,223.2,$-78.04,0.0
2021-06-30,369.0,$-24.69,0.0
2021-03-31,453.0,$-3.77,0.0
2020-12-31,132.03,$-89.94,0.0
2020-09-30,96.63,$-244.16,0.0
2020-06-30,92.85,$-354.78,0.0
2020-03-31,124.5,$-392.14,0.0
2019-12-31,342.0,$-718.00,0.0
2019-09-30,249.03,"$-1,738.46",0.0
2019-06-30,909.0,$-545.33,0.0
2019-03-31,2868.9,"$-5,610.00",0.0
2018-12-31,900.0,"$-5,185.61",0.0
2018-09-30,3960.0,"$-3,975.81",0.0
2018-06-30,5010.0,"$-5,111.25",0.0
2018-03-31,3990.0,$-34.10,0.0
2017-12-31,21840.0,$-52.99,0.0
2017-09-30,45648.0,$-176.61,0.0
2017-06-30,53808.0,$-165.58,0.0
2017-03-31,227999.99,$-151.68,0.0
2016-12-31,443999.98,$-130.66,0.0
2016-09-30,572399.97,$-3.67,0.0
2016-06-30,1431599.93,$-4.76,0.0
2016-03-31,1149599.94,$-3.98,0.0
2015-12-31,2725199.86,$-3.65,0.0
