Lancaster Colony Price to Free Cash Flow Ratio Historical Data,Lancaster Colony Price to Free Cash Flow Ratio Historical Data,Lancaster Colony Price to Free Cash Flow Ratio Historical Data,Lancaster Colony Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,174.17,,25.82
2024-12-31,173.14,$6.74,25.67
2024-09-30,175.66,$6.41,27.42
2024-06-30,187.04,$6.95,26.9
2024-03-31,204.52,$7.14,28.66
2023-12-31,163.18,$5.69,28.67
2023-09-30,160.98,$4.61,34.9
2023-06-30,195.12,$4.98,39.16
2023-03-31,196.02,$4.47,43.9
2022-12-31,189.78,$2.90,65.37
2022-09-30,143.95,$1.05,137.36
2022-06-30,122.78,$-1.08,0.0
2022-03-31,141.25,$-1.55,0.0
2021-12-31,156.03,$-1.05,0.0
2021-09-30,158.21,$1.67,94.53
2021-06-30,180.58,$3.14,57.46
2021-03-31,163.02,$4.51,36.11
2020-12-31,170.1,$4.78,35.61
2020-09-30,164.81,$3.66,45.06
2020-06-30,142.3,$3.21,44.33
2020-03-31,132.24,$2.71,48.77
2019-12-31,145.69,$3.25,44.84
2019-09-30,125.62,$3.36,37.34
2019-06-30,134.04,$4.61,29.09
2019-03-31,140.71,$4.90,28.71
2018-12-31,158.15,$5.32,29.74
2018-09-30,132.94,$4.75,28.0
2018-06-30,122.86,$4.72,26.01
2018-03-31,108.79,$4.66,23.34
2017-12-31,113.6,$4.56,24.9
2017-09-30,105.13,$4.00,26.25
2017-06-30,106.81,$4.40,24.25
2017-03-31,111.74,$4.65,24.04
2016-12-31,122.11,$4.61,26.47
2016-09-30,113.62,$5.13,22.13
2016-06-30,109.37,$4.72,23.17
2016-03-31,94.38,$4.48,21.06
2015-12-31,98.09,$4.08,24.04
2015-09-30,78.95,$4.26,18.53
2015-06-30,73.24,$4.19,17.48
2015-03-31,76.32,$3.78,20.2
2014-12-31,74.72,$3.78,19.75
2014-09-30,67.72,$4.27,15.85
2014-06-30,75.18,$4.14,18.15
2014-03-31,78.18,$4.55,17.19
2013-12-31,68.99,$4.86,14.21
2013-09-30,60.97,$4.54,13.43
2013-06-30,60.4,$4.05,14.93
2013-03-31,59.34,$4.05,14.65
2012-12-31,53.04,$3.92,13.52
2012-09-30,52.23,$3.84,13.61
2012-06-30,50.53,$3.92,12.88
2012-03-31,46.91,$4.16,11.29
2011-12-31,48.66,$3.96,12.3
2011-09-30,42.6,$4.45,9.58
2011-06-30,42.24,$4.05,10.43
2011-03-31,41.84,$3.16,13.24
2010-12-31,39.26,$3.25,12.08
2010-09-30,32.41,$2.86,11.35
2010-06-30,36.17,$3.37,10.74
2010-03-31,39.75,$4.14,9.6
2009-12-31,33.32,$6.74,4.94
