National Research Price to Free Cash Flow Ratio Historical Data,National Research Price to Free Cash Flow Ratio Historical Data,National Research Price to Free Cash Flow Ratio Historical Data,National Research Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.99,,14.3
2024-09-30,22.86,$1.05,21.81
2024-06-30,22.83,$0.93,24.47
2024-03-31,39.19,$1.05,37.3
2023-12-31,39.03,$0.91,43.11
2023-09-30,43.64,$0.82,53.13
2023-06-30,41.76,$0.86,48.73
2023-03-31,41.65,$1.01,41.13
2022-12-31,35.6,$1.06,33.75
2022-09-30,37.87,$1.22,31.01
2022-06-30,36.21,$1.27,28.53
2022-03-31,37.27,$1.31,28.54
2021-12-31,38.79,$1.59,24.36
2021-09-30,39.28,$1.76,22.33
2021-06-30,42.64,$1.83,23.32
2021-03-31,43.28,$1.75,24.76
2020-12-31,39.51,$1.43,27.7
2020-09-30,45.48,$1.28,35.63
2020-06-30,53.8,$1.36,39.59
2020-03-31,42.03,$1.36,30.83
2019-12-31,60.66,$1.41,42.91
2019-09-30,52.96,$1.37,38.56
2019-06-30,52.63,$1.20,43.92
2019-03-31,35.16,$1.18,29.89
2018-12-31,34.57,$1.21,28.65
2018-09-30,34.37,$1.04,32.96
2018-06-30,33.16,$1.15,28.75
2018-03-31,29.25,$0.93,31.33
2017-12-31,37.3,$0.93,40.01
2017-09-30,37.7,$1.04,36.34
2017-06-30,26.9,$0.89,30.2
2017-03-31,19.7,$1.07,18.47
2016-12-31,19.0,$0.93,20.43
2016-09-30,16.29,$0.87,18.8
2016-06-30,13.7,$0.83,16.5
2016-03-31,15.55,$0.87,17.8
2015-12-31,16.04,$0.77,20.74
2015-09-30,11.94,$0.72,16.51
2015-06-30,14.21,$0.87,16.36
2015-03-31,14.4,$0.81,17.74
2014-12-31,13.99,$0.96,14.53
2014-09-30,13.01,$0.89,14.62
2014-06-30,13.99,$0.90,15.6
2014-03-31,16.59,$0.88,18.84
