So-Young Price to Free Cash Flow Ratio Historical Data,So-Young Price to Free Cash Flow Ratio Historical Data,So-Young Price to Free Cash Flow Ratio Historical Data,So-Young Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.97,,0.0
2024-09-30,0.94,$-0.04,0.0
2024-06-30,1.07,$-0.04,0.0
2024-03-31,1.04,$-0.04,0.0
2023-12-31,1.23,$-0.04,0.0
2023-09-30,0.99,$-0.17,0.0
2023-06-30,1.75,$-0.17,0.0
2023-03-31,2.04,$-0.17,0.0
2022-12-31,1.23,$-0.17,0.0
2022-09-30,0.68,$0.06,11.75
2022-06-30,0.81,$0.06,13.98
2022-03-31,1.88,$0.06,32.32
2021-12-31,3.03,$0.06,52.07
2021-09-30,4.05,$0.34,11.97
2021-06-30,9.13,$0.34,26.99
2021-03-31,9.38,$0.34,27.72
2020-12-31,10.55,$0.34,31.21
2020-09-30,11.87,$0.60,19.64
2020-06-30,12.89,$0.60,21.33
2020-03-31,9.73,$0.60,16.1
