Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,81.45,,12.38
2024-09-30,65.6,$6.58,9.97
2024-06-30,65.43,$6.69,9.78
2024-03-31,74.24,$7.75,9.58
2023-12-31,79.44,$7.26,10.94
2023-09-30,81.58,$6.83,11.94
2023-06-30,79.15,$6.75,11.73
2023-03-31,81.42,$5.67,14.36
2022-12-31,55.09,$5.05,10.9
2022-09-30,44.67,$4.51,9.9
2022-06-30,45.15,$4.30,10.51
2022-03-31,50.93,$4.37,11.66
2021-12-31,42.39,$4.37,9.7
2021-09-30,35.64,$3.92,9.08
2021-06-30,39.72,$2.84,13.96
2021-03-31,38.44,$1.17,32.85
2020-12-31,39.32,$1.18,33.19
2020-09-30,27.97,$1.61,17.42
2020-06-30,28.26,$2.35,12.01
2020-03-31,20.5,$3.54,5.79
2019-12-31,45.6,$3.95,11.54
2019-09-30,36.18,$3.60,10.04
2019-06-30,37.19,$3.79,9.81
2019-03-31,33.16,$3.88,8.54
2018-12-31,27.96,$3.62,7.73
2018-09-30,41.88,$3.19,13.11
2018-06-30,30.63,$2.90,10.56
2018-03-31,27.82,$3.02,9.22
2017-12-31,29.29,$2.78,10.53
2017-09-30,31.34,$2.99,10.49
2017-06-30,34.02,$2.85,11.92
2017-03-31,29.34,$2.52,11.64
2016-12-31,23.47,$2.26,10.37
2016-09-30,31.98,$2.47,12.95
2016-06-30,32.24,$2.22,14.53
2016-03-31,29.9,$2.19,13.67
2015-12-31,25.21,$2.45,10.31
2015-09-30,26.01,$2.01,12.93
2015-06-30,25.74,$2.27,11.34
2015-03-31,25.51,$2.33,10.93
2014-12-31,23.83,$1.98,12.03
2014-09-30,23.16,$2.16,10.73
2014-06-30,21.16,$1.56,13.6
2014-03-31,18.98,$1.44,13.18
2013-12-31,17.51,$1.58,11.11
2013-09-30,16.88,$1.61,10.5
2013-06-30,16.41,$1.84,8.91
2013-03-31,20.06,$1.61,12.46
2012-12-31,13.06,$1.67,7.83
2012-09-30,10.78,$1.46,7.39
2012-06-30,9.85,$1.24,7.97
2012-03-31,9.1,$1.31,6.97
2011-12-31,7.04,$1.04,6.79
2011-09-30,7.22,$0.96,7.54
2011-06-30,9.55,$1.17,8.13
2011-03-31,8.2,$1.06,7.72
2010-12-31,8.33,$0.78,10.68
2010-09-30,7.78,$0.41,19.06
2010-06-30,6.69,$0.19,35.45
2010-03-31,7.86,$0.24,32.27
2009-12-31,6.88,$0.32,21.44
