Aligos Therapeutics Price to Free Cash Flow Ratio Historical Data,Aligos Therapeutics Price to Free Cash Flow Ratio Historical Data,Aligos Therapeutics Price to Free Cash Flow Ratio Historical Data,Aligos Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.52,,0.0
2024-12-31,39.84,$-12.91,0.0
2024-09-30,8.66,$-8.40,0.0
2024-06-30,0.35,$-16.76,0.0
2024-03-31,0.98,$-21.44,0.0
2023-12-31,0.66,$-30.83,0.0
2023-09-30,0.75,$-42.32,0.0
2023-06-30,0.97,$-40.72,0.0
2023-03-31,0.87,$-47.77,0.0
2022-12-31,0.95,$-47.04,0.0
2022-09-30,1.1,$-63.79,0.0
2022-06-30,1.21,$-64.85,0.0
2022-03-31,2.15,$-65.33,0.0
2021-12-31,11.87,$-73.11,0.0
2021-09-30,15.51,$-107.07,0.0
