KNOT Offshore Partners LP Price to Free Cash Flow Ratio Historical Data,KNOT Offshore Partners LP Price to Free Cash Flow Ratio Historical Data,KNOT Offshore Partners LP Price to Free Cash Flow Ratio Historical Data,KNOT Offshore Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.32,,1.86
2024-09-30,6.82,$3.41,2.0
2024-06-30,8.7,$3.12,2.79
2024-03-31,5.09,$3.31,1.54
2023-12-31,5.66,$3.35,1.69
2023-09-30,6.68,$2.92,2.29
2023-06-30,4.81,$2.81,1.71
2023-03-31,5.19,$2.85,1.82
2022-12-31,9.28,$2.57,3.6
2022-09-30,13.02,$3.09,4.21
2022-06-30,14.81,$3.52,4.21
2022-03-31,14.84,$3.46,4.29
2021-12-31,11.33,$4.18,2.71
2021-09-30,15.5,$4.71,3.29
2021-06-30,16.04,$5.19,3.09
2021-03-31,13.92,$5.23,2.66
2020-12-31,11.41,$5.17,2.21
2020-09-30,9.4,$5.21,1.8
2020-06-30,9.65,$4.76,2.03
2020-03-31,6.91,$5.06,1.37
2019-12-31,13.06,$5.07,2.58
2019-09-30,12.25,$4.91,2.49
2019-06-30,11.93,$4.66,2.56
2019-03-31,11.56,$3.32,3.49
2018-06-30,12.5,$3.54,3.53
2018-03-31,10.89,$3.98,2.73
2017-12-31,11.13,$4.69,2.38
2017-09-30,12.33,$6.20,1.99
2017-06-30,11.77,$5.49,2.14
2017-03-31,11.7,$4.65,2.51
2016-12-31,11.57,$4.50,2.57
2016-09-30,9.98,$4.94,2.02
2016-06-30,8.63,$4.72,1.83
2016-03-31,7.42,$5.18,1.43
2015-12-31,5.88,$5.25,1.12
2015-09-30,6.25,$5.86,1.07
2015-06-30,7.82,$5.21,1.5
2015-03-31,9.82,$5.47,1.8
2014-12-31,8.72,$5.29,1.65
2014-09-30,9.59,$2.14,4.49
2014-06-30,10.7,$4.18,2.56
2014-03-31,10.64,$3.97,2.68
