Flora Growth Price to Free Cash Flow Ratio Historical Data,Flora Growth Price to Free Cash Flow Ratio Historical Data,Flora Growth Price to Free Cash Flow Ratio Historical Data,Flora Growth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.66,,0.0
2024-09-30,1.53,$-0.47,0.0
2024-06-30,1.02,$-0.12,0.0
2024-03-31,2.31,$-0.66,0.0
2023-12-31,1.35,$-1.16,0.0
2023-09-30,1.16,$-1.32,0.0
2023-06-30,2.38,$-3.74,0.0
2023-03-31,0.29,$-5.16,0.0
2022-12-31,0.23,$-10.36,0.0
2022-09-30,0.71,$-13.55,0.0
