Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.47,,0.0
2024-12-31,125.72,$-1.30,0.0
2024-09-30,103.42,$-19.42,0.0
2024-06-30,95.57,$-6.43,0.0
2024-03-31,91.74,$-13.89,0.0
2023-12-31,89.98,$-22.45,0.0
2023-09-30,77.87,$-19.77,0.0
2023-06-30,80.68,$-26.26,0.0
2023-03-31,82.24,$-11.66,0.0
2022-12-31,78.99,$-5.53,0.0
2022-09-30,72.72,$2.93,24.8
2022-06-30,69.36,$8.86,7.83
2022-03-31,79.04,$2.72,29.02
2021-12-31,88.16,$17.45,5.05
2021-09-30,86.81,$1.69,51.33
2021-06-30,81.2,$-3.89,0.0
2021-03-31,68.49,$-16.86,0.0
2020-12-31,60.14,$-16.43,0.0
2020-09-30,42.12,$-0.97,0.0
2020-06-30,41.78,$11.71,3.57
2020-03-31,29.16,$28.83,1.01
2019-12-31,43.56,$23.75,1.83
2019-09-30,36.09,$19.78,1.82
2019-06-30,36.76,$19.75,1.86
2019-03-31,35.19,$6.07,5.8
2018-12-31,32.84,$3.13,10.49
2018-09-30,38.31,$9.58,4.0
2018-06-30,38.76,$4.20,9.23
2018-03-31,43.92,$3.68,11.92
2017-12-31,42.52,$-3.37,0.0
2017-09-30,38.84,$-6.86,0.0
2017-06-30,35.74,$-14.20,0.0
2017-03-31,34.2,$0.02,1838.79
2016-12-31,33.58,$2.18,15.43
2016-09-30,25.33,$5.28,4.8
2016-06-30,20.38,$9.89,2.06
2016-03-31,19.52,$5.84,3.34
2015-12-31,24.68,$-2.99,0.0
2015-09-30,24.33,$-8.16,0.0
2015-06-30,29.84,$-7.33,0.0
2015-03-31,27.35,$-9.19,0.0
2014-12-31,29.64,$0.05,621.47
2014-09-30,26.34,$12.77,2.06
2014-06-30,24.55,$10.84,2.27
2014-03-31,23.59,$17.47,1.35
2013-12-31,23.7,$17.22,1.38
2013-09-30,20.33,$8.71,2.33
2013-06-30,18.4,$12.44,1.48
2013-03-31,16.51,$10.25,1.61
2012-12-31,14.33,$12.22,1.17
2012-09-30,12.51,$14.75,0.85
2012-06-30,10.87,$21.34,0.51
2012-03-31,14.59,$13.73,1.06
2011-12-31,11.21,$8.40,1.33
2011-09-30,9.98,$20.39,0.49
2011-06-30,16.96,$7.34,2.31
2011-03-31,20.1,$13.86,1.45
2010-12-31,19.98,$27.93,0.72
2010-09-30,18.09,$11.97,1.51
2010-06-30,16.98,$13.45,1.26
2010-03-31,21.39,$4.96,4.31
2009-12-31,21.58,$-41.19,0.0
