RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,134.47,,39.85
2024-12-31,115.72,$3.37,34.29
2024-09-30,120.52,$5.73,21.02
2024-06-30,99.33,$6.16,16.12
2024-03-31,95.92,$4.65,20.61
2023-12-31,82.21,$3.81,21.58
2023-09-30,69.8,$3.61,19.31
2023-06-30,94.36,$1.91,49.47
2023-03-31,93.75,$2.32,40.39
2022-12-31,96.09,$3.28,29.26
2022-09-30,77.49,$2.21,35.09
2022-06-30,90.45,$3.03,29.89
2022-03-31,92.67,$3.12,29.68
2021-12-31,80.07,$3.32,24.12
2021-09-30,79.51,$2.55,31.22
2021-06-30,78.43,$2.36,33.26
2021-03-31,70.62,$1.16,60.89
2020-12-31,64.93,$1.87,34.72
2020-09-30,51.86,$1.85,27.96
2020-06-30,55.12,$2.53,21.81
2020-03-31,83.65,$4.19,19.98
2019-12-31,132.17,$4.58,28.88
2019-09-30,119.89,$1.40,85.34
2019-06-30,114.34,$1.60,71.58
2019-03-31,112.58,$2.66,42.3
2018-12-31,92.46,$1.49,62.26
2018-09-30,120.71,$6.13,19.68
2018-06-30,107.39,$3.87,27.76
2018-03-31,107.46,$3.84,27.99
2017-12-31,108.37,$4.53,23.94
2017-09-30,98.03,$3.84,25.5
2017-06-30,102.51,$6.32,16.21
2017-03-31,93.69,$5.92,15.82
2016-12-31,90.99,$5.71,15.95
2016-09-30,83.81,$6.63,12.65
2016-06-30,84.09,$5.46,15.39
2016-03-31,81.54,$4.93,16.54
2015-12-31,77.69,$5.78,13.45
2015-09-30,71.5,$4.95,14.45
2015-06-30,88.55,$6.01,14.73
2015-03-31,93.05,$6.28,14.82
2014-12-31,90.81,$5.91,15.37
2014-09-30,82.94,$6.43,12.9
2014-06-30,90.17,$5.90,15.29
2014-03-31,90.8,$6.15,14.76
2013-12-31,87.98,$6.28,14.01
2013-09-30,82.9,$5.65,14.67
2013-06-30,71.1,$5.82,12.21
2013-03-31,71.07,$5.72,12.43
2012-12-31,62.02,$5.75,10.78
2012-09-30,58.78,$5.99,9.82
2012-06-30,56.32,$6.47,8.71
2012-03-31,61.45,$6.10,10.07
2011-12-31,53.84,$6.10,8.83
2011-09-30,51.51,$5.62,9.16
2011-06-30,64.37,$5.35,12.02
2011-03-31,61.23,$5.46,11.21
2010-12-31,56.66,$5.29,10.71
2010-09-30,50.97,$5.32,9.58
2010-06-30,46.17,$5.49,8.4
2010-03-31,52.05,$5.61,9.27
2009-12-31,48.78,$4.87,10.01
