John Marshall Bancorp Price to Free Cash Flow Ratio Historical Data,John Marshall Bancorp Price to Free Cash Flow Ratio Historical Data,John Marshall Bancorp Price to Free Cash Flow Ratio Historical Data,John Marshall Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.13,,14.49
2024-09-30,19.78,$1.18,16.74
2024-06-30,17.44,$1.24,14.1
2024-03-31,17.67,$0.84,21.03
2023-12-31,22.24,$1.24,18.01
2023-09-30,17.6,$1.42,12.4
2023-06-30,19.81,$1.89,10.46
2023-03-31,21.07,$2.75,7.68
