Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data,Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data,Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data,Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.03,,8.49
2024-12-31,15.15,$1.65,9.17
2024-09-30,16.53,$5.16,3.2
2024-06-30,19.27,$4.84,3.98
2024-03-31,19.36,$4.13,4.69
2023-12-31,16.04,$2.84,5.64
2023-09-30,19.93,$1.14,17.46
2023-06-30,16.17,$1.73,9.36
2023-03-31,16.53,$2.19,7.55
2022-12-31,18.29,$2.95,6.2
2022-09-30,14.36,$2.85,5.04
2022-06-30,17.69,$2.17,8.14
2022-03-31,15.47,$1.67,9.25
2021-12-31,11.37,$1.31,8.68
2021-09-30,9.29,$0.78,11.88
2021-06-30,8.83,$0.53,16.53
2021-03-31,6.92,$-0.37,0.0
2020-12-31,5.55,$-0.36,0.0
2020-09-30,3.58,$-0.11,0.0
2020-06-30,4.29,$-0.09,0.0
2020-03-31,1.86,$1.11,1.68
2019-12-31,9.17,$1.29,7.12
2019-09-30,8.43,$1.16,7.25
2019-06-30,7.9,$1.44,5.48
2019-03-31,7.74,$0.98,7.91
2018-12-31,6.24,$0.49,12.8
2018-09-30,8.86,$0.63,13.99
2018-06-30,9.13,$0.09,98.94
2018-03-31,7.48,$0.54,13.9
2017-12-31,7.96,$0.97,8.19
2017-09-30,8.7,$0.61,14.18
2017-06-30,6.37,$0.63,10.11
2017-03-31,9.72,$-0.02,0.0
2016-12-31,12.98,$-0.16,0.0
2016-09-30,12.3,$-3.25,0.0
2016-06-30,11.8,$-0.21,0.0
2016-03-31,11.07,$-0.10,0.0
2015-12-31,10.71,$-0.23,0.0
2015-09-30,12.75,$2.89,4.41
2015-06-30,13.35,$0.66,20.19
2015-03-31,13.89,$1.09,12.71
2014-12-31,16.76,$0.89,18.75
2014-09-30,21.57,$1.05,20.58
2014-06-30,25.77,$0.27,93.96
2014-03-31,22.87,$-0.07,0.0
2013-12-31,22.42,$0.35,64.73
2013-09-30,23.18,$0.01,0.0
2013-06-30,21.97,$0.06,398.06
2013-03-31,23.68,$0.35,67.41
2012-12-31,25.44,$0.06,410.33
2012-09-30,26.26,$0.53,49.96
2012-06-30,23.81,$0.73,32.46
2012-03-31,26.72,$0.68,39.12
2011-12-31,24.54,$0.87,28.07
2011-09-30,22.56,$3.38,6.68
2011-06-30,27.5,$3.20,8.58
2011-03-31,28.58,$2.80,10.21
2010-12-31,23.99,$3.35,7.17
2010-09-30,20.63,$2.75,7.51
