Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.92,,0.0
2024-12-31,79.84,$-0.82,0.0
2024-09-30,86.29,$-1.77,0.0
2024-06-30,70.39,$-2.81,0.0
2024-03-31,69.33,$-1.52,0.0
2023-12-31,69.29,$-4.58,0.0
2023-09-30,60.69,$-4.70,0.0
2023-06-30,65.13,$-7.77,0.0
2023-03-31,66.2,$-9.01,0.0
2022-12-31,59.04,$-6.42,0.0
2022-09-30,51.92,$-8.44,0.0
2022-06-30,56.71,$-7.86,0.0
2022-03-31,62.86,$-12.16,0.0
2021-12-31,60.59,$-14.46,0.0
2021-09-30,48.74,$-15.29,0.0
2021-06-30,49.64,$-16.70,0.0
2021-03-31,50.31,$-12.05,0.0
2020-12-31,53.33,$-11.29,0.0
2020-09-30,42.7,$-10.32,0.0
2020-06-30,44.54,$-15.22,0.0
2020-03-31,44.94,$-15.18,0.0
2019-12-31,61.16,$-15.20,0.0
2019-09-30,60.65,$-13.48,0.0
2019-06-30,53.29,$-6.21,0.0
2019-03-31,48.95,$-5.88,0.0
2018-12-31,44.44,$-4.09,0.0
2018-09-30,52.42,$-3.79,0.0
2018-06-30,48.56,$-2.66,0.0
2018-03-31,48.4,$-1.42,0.0
2017-12-31,47.62,$-0.75,0.0
2017-09-30,57.57,$-0.61,0.0
2017-06-30,57.92,$-1.28,0.0
2017-03-31,58.57,$-1.39,0.0
2016-12-31,52.6,$-1.50,0.0
2016-09-30,52.4,$0.96,54.6
2016-06-30,55.96,$0.97,57.63
2016-03-31,51.47,$1.50,34.42
2015-12-31,42.11,$0.86,48.79
2015-09-30,44.5,$-0.40,0.0
2015-06-30,38.96,$0.49,80.25
2015-03-31,43.46,$-1.78,0.0
2014-12-31,45.25,$-2.00,0.0
2014-09-30,38.41,$-1.78,0.0
2014-06-30,39.66,$-3.41,0.0
2014-03-31,38.4,$-1.07,0.0
2013-12-31,31.2,$-1.37,0.0
2013-09-30,30.8,$-1.35,0.0
2013-06-30,31.97,$-0.99,0.0
2013-03-31,33.17,$-2.01,0.0
2012-12-31,29.59,$-2.12,0.0
2012-09-30,29.69,$-1.54,0.0
2012-06-30,29.81,$-0.40,0.0
2012-03-31,27.24,$-0.95,0.0
2011-12-31,26.33,$-0.66,0.0
2011-09-30,24.13,$-1.76,0.0
2011-06-30,24.24,$-0.68,0.0
2011-03-31,22.7,$-1.11,0.0
2010-12-31,23.74,$-0.92,0.0
2010-09-30,20.98,$2.99,7.01
2010-06-30,19.17,$2.24,8.57
2010-03-31,20.46,$2.85,7.19
2009-12-31,20.63,$3.62,5.7
