MGIC Investment Price to Free Cash Flow Ratio Historical Data,MGIC Investment Price to Free Cash Flow Ratio Historical Data,MGIC Investment Price to Free Cash Flow Ratio Historical Data,MGIC Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.71,,8.65
2024-12-31,23.71,$2.74,8.65
2024-09-30,25.47,$2.72,9.35
2024-06-30,21.32,$2.60,8.2
2024-03-31,22.0,$2.46,8.93
2023-12-31,18.87,$2.48,7.6
2023-09-30,16.22,$2.35,6.9
2023-06-30,15.24,$2.16,7.05
2023-03-31,12.87,$2.10,6.14
2022-12-31,12.38,$2.08,5.96
2022-09-30,12.11,$2.10,5.78
2022-06-30,11.83,$2.14,5.52
2022-03-31,12.64,$2.12,5.97
2021-12-31,13.38,$1.97,6.79
2021-09-30,13.81,$2.05,6.73
2021-06-30,12.49,$1.77,7.05
2021-03-31,12.66,$2.08,6.09
2020-12-31,11.42,$2.03,5.63
2020-09-30,8.02,$1.81,4.42
2020-06-30,7.36,$2.11,3.49
2020-03-31,5.66,$1.68,3.37
2019-12-31,12.58,$1.62,7.79
2019-09-30,11.12,$1.62,6.87
2019-06-30,11.56,$1.46,7.93
2019-03-31,11.6,$1.48,7.83
2018-12-31,9.2,$1.37,6.7
2018-09-30,11.71,$1.34,8.75
2018-06-30,9.43,$1.35,6.99
2018-03-31,11.44,$1.14,10.07
2017-12-31,12.41,$0.99,12.55
2017-09-30,11.02,$0.77,14.4
2017-06-30,9.85,$0.67,14.65
2017-03-31,8.91,$0.67,13.21
2016-12-31,8.97,$0.50,18.08
2016-09-30,7.04,$0.41,17.28
2016-06-30,5.23,$0.59,8.84
2016-03-31,6.75,$0.41,16.47
2015-12-31,7.77,$0.33,23.2
2015-09-30,8.15,$0.12,69.57
2015-06-30,10.01,$-0.45,0.0
2015-03-31,8.47,$-0.67,0.0
2014-12-31,8.2,$-0.99,0.0
2014-09-30,6.87,$-1.90,0.0
2014-06-30,8.13,$-2.30,0.0
2014-03-31,7.5,$-2.42,0.0
2013-12-31,7.43,$-3.12,0.0
2013-09-30,6.4,$-4.01,0.0
2013-06-30,5.34,$-5.04,0.0
2013-03-31,4.35,$-6.75,0.0
2012-12-31,2.34,$-7.77,0.0
2012-09-30,1.35,$-8.13,0.0
2012-06-30,2.53,$-8.74,0.0
2012-03-31,4.36,$-9.38,0.0
2011-12-31,3.28,$-9.37,0.0
2011-09-30,1.65,$-9.74,0.0
2011-06-30,5.23,$-8.81,0.0
2011-03-31,7.82,$-5.48,0.0
2010-12-31,8.97,$-4.96,0.0
2010-09-30,8.12,$-2.97,0.0
2010-06-30,6.06,$-1.81,0.0
2010-03-31,9.65,$-2.39,0.0
2009-12-31,5.09,$2.66,1.91
