Kemper Price to Free Cash Flow Ratio Historical Data,Kemper Price to Free Cash Flow Ratio Historical Data,Kemper Price to Free Cash Flow Ratio Historical Data,Kemper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.39,,11.4
2024-12-31,66.44,$5.91,11.24
2024-09-30,60.98,$2.74,22.28
2024-06-30,58.78,$-0.05,0.0
2024-03-31,61.04,$-1.51,0.0
2023-12-31,47.73,$-2.10,0.0
2023-09-30,40.9,$-2.26,0.0
2023-06-30,46.66,$-2.91,0.0
2023-03-31,52.48,$-2.93,0.0
2022-12-31,47.01,$-3.29,0.0
2022-09-30,39.19,$-2.00,0.0
2022-06-30,45.21,$5.31,8.52
2022-03-31,53.01,$3.10,17.12
2021-12-31,54.78,$5.49,9.97
2021-09-30,61.92,$7.78,7.96
2021-06-30,68.2,$1.49,45.65
2021-03-31,73.28,$7.90,9.28
2020-12-31,70.34,$6.71,10.48
2020-09-30,60.92,$7.17,8.5
2020-06-30,65.87,$8.92,7.39
2020-03-31,67.2,$7.61,8.83
2019-12-31,69.76,$8.03,8.69
2019-09-30,69.91,$8.54,8.18
2019-06-30,77.13,$8.61,8.96
2019-03-31,67.86,$9.11,7.45
2018-12-31,58.98,$9.18,6.43
2018-09-30,71.26,$6.71,10.61
2018-06-30,66.8,$6.29,10.62
2018-03-31,50.17,$5.11,9.82
2017-12-31,60.39,$4.64,13.03
2017-09-30,46.29,$4.55,10.17
2017-06-30,33.55,$4.43,7.57
2017-03-31,34.46,$4.13,8.34
2016-12-31,38.05,$4.70,8.1
2016-09-30,33.56,$4.22,7.96
2016-06-30,26.27,$4.85,5.41
2016-03-31,24.89,$5.08,4.9
2015-12-31,31.04,$4.13,7.52
2015-09-30,29.29,$3.80,7.71
2015-06-30,31.73,$2.67,11.87
2015-03-31,31.85,$2.33,13.67
2014-12-31,29.33,$2.44,12.02
2014-09-30,27.56,$2.29,12.04
2014-06-30,29.55,$2.04,14.45
2014-03-31,31.18,$1.32,23.6
2013-12-31,32.34,$2.05,15.79
2013-09-30,26.41,$0.96,27.48
2013-06-30,26.74,$1.39,19.18
2013-03-31,25.27,$1.49,16.97
2012-12-31,22.69,$1.02,22.24
2012-09-30,23.43,$1.35,17.34
2012-06-30,23.28,$0.08,281.11
2012-03-31,22.74,$-0.80,0.0
2011-12-31,21.76,$-0.52,0.0
2011-09-30,17.68,$-0.23,0.0
2011-06-30,21.68,$0.46,47.27
2011-03-31,22.38,$1.68,13.33
2010-12-31,17.64,$0.88,19.95
2010-09-30,17.37,$1.27,13.72
2010-06-30,18.07,$1.94,9.34
2010-03-31,19.64,$2.47,7.96
2009-12-31,15.29,$2.49,6.15
