Calidi Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Calidi Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Calidi Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Calidi Biotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.79,,0.0
2024-09-30,1.14,$-2.56,0.0
2024-06-30,0.2,$-8.14,0.0
2024-03-31,0.57,$-13.66,0.0
2023-12-31,1.51,$-16.33,0.0
2023-09-30,3.33,$-20.42,0.0
2023-06-30,10.49,$-24.70,0.0
2023-03-31,10.27,$-18.98,0.0
2022-12-31,10.17,$-16.04,0.0
2022-09-30,9.85,$-11.21,0.0
