SK Growth Opportunities Price to Free Cash Flow Ratio Historical Data,SK Growth Opportunities Price to Free Cash Flow Ratio Historical Data,SK Growth Opportunities Price to Free Cash Flow Ratio Historical Data,SK Growth Opportunities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.73,,0.0
2024-09-30,11.34,$-0.17,0.0
2024-06-30,11.12,$-0.22,0.0
2024-03-31,11.05,$-0.16,0.0
2023-12-31,10.82,$-0.14,0.0
2023-09-30,10.75,$-0.10,0.0
2023-06-30,10.59,$-0.28,0.0
