CarParts Price to Free Cash Flow Ratio Historical Data,CarParts Price to Free Cash Flow Ratio Historical Data,CarParts Price to Free Cash Flow Ratio Historical Data,CarParts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.99,,0.0
2024-09-30,0.91,$-0.37,0.0
2024-06-30,1.0,$-0.67,0.0
2024-03-31,1.62,$0.09,17.8
2023-12-31,3.16,$0.68,4.68
2023-09-30,4.12,$1.03,4.02
2023-06-30,4.25,$1.19,3.58
2023-03-31,5.34,$0.54,9.82
2022-12-31,6.26,$0.05,118.79
2022-09-30,5.17,$-0.13,0.0
2022-06-30,6.94,$-0.32,0.0
2022-03-31,6.7,$-0.55,0.0
2021-12-31,11.2,$-0.36,0.0
2021-09-30,15.61,$-0.90,0.0
2021-06-30,20.36,$-1.21,0.0
2021-03-31,14.28,$-0.80,0.0
2020-12-31,12.39,$-0.68,0.0
2020-09-30,10.81,$-0.07,0.0
2020-06-30,8.66,$0.48,17.89
2020-03-31,1.75,$0.26,6.75
2019-12-31,2.2,$0.02,109.45
2019-09-30,1.55,$-0.18,0.0
2019-06-30,1.25,$-0.14,0.0
2019-03-31,1.01,$-0.08,0.0
2018-12-31,0.91,$0.01,64.54
2018-09-30,1.55,$0.15,10.67
2018-06-30,1.5,$0.06,24.88
2018-03-31,2.05,$0.20,10.29
2017-12-31,2.52,$0.17,14.74
2017-09-30,2.89,$0.27,10.65
2017-06-30,3.23,$0.37,8.77
2017-03-31,3.35,$0.35,9.58
2016-12-31,3.52,$0.42,8.37
2016-09-30,3.29,$0.26,12.79
2016-06-30,3.95,$0.16,23.97
2016-03-31,2.56,$0.10,26.42
2015-12-31,2.95,$-0.06,0.0
2015-09-30,1.88,$0.02,78.66
2015-06-30,2.2,$-0.30,0.0
2015-03-31,2.17,$-0.25,0.0
2014-12-31,2.34,$-0.13,0.0
2014-09-30,2.82,$-0.08,0.0
2014-06-30,3.61,$0.14,25.64
2014-03-31,3.06,$0.01,0.0
2013-12-31,2.48,$-0.23,0.0
2013-09-30,1.32,$-0.23,0.0
2013-06-30,1.15,$-0.23,0.0
2013-03-31,1.2,$-0.30,0.0
2012-12-31,1.83,$-0.34,0.0
2012-09-30,3.46,$-0.48,0.0
2012-06-30,4.18,$-0.36,0.0
2012-03-31,3.61,$-0.31,0.0
2011-12-31,4.37,$-0.13,0.0
2011-09-30,5.07,$-0.21,0.0
2011-06-30,7.66,$-0.54,0.0
2011-03-31,8.7,$-0.49,0.0
2010-12-31,8.4,$-0.46,0.0
2010-09-30,8.2,$-0.29,0.0
2010-06-30,6.0,$0.08,78.84
2010-03-31,7.52,$0.19,39.35
2009-12-31,5.2,$0.10,50.29
