Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.9,,8.13
2024-11-30,27.55,$3.19,8.65
2024-08-31,30.83,$3.05,10.11
2024-05-31,29.19,$3.39,8.6
2024-02-29,27.12,$2.95,9.18
2023-11-30,27.0,$2.43,11.12
2023-08-31,28.15,$1.66,16.98
2023-05-31,32.51,$1.32,24.56
2023-02-28,33.65,$1.59,21.12
2022-11-30,34.79,$1.72,20.19
2022-08-31,31.2,$1.84,16.96
2022-05-31,29.57,$1.52,19.45
2022-02-28,31.16,$1.44,21.7
2021-11-30,26.99,$1.48,18.28
2021-08-31,28.98,$1.66,17.41
2021-05-31,33.02,$1.98,16.71
2021-02-28,29.19,$3.10,9.43
2020-11-30,31.21,$3.06,10.19
2020-08-31,32.49,$3.12,10.41
2020-05-31,29.3,$3.04,9.63
2020-02-29,22.34,$2.01,11.13
2019-11-30,24.01,$1.95,12.32
2019-08-31,23.4,$1.93,12.15
2019-05-31,21.93,$1.78,12.29
2019-02-28,19.01,$1.18,16.17
2018-11-30,26.31,$1.35,19.49
2018-08-31,29.72,$1.58,18.84
2018-05-31,29.8,$1.74,17.08
2018-02-28,28.88,$2.23,12.96
2017-11-30,29.68,$1.91,15.51
2017-08-31,25.81,$1.78,14.48
2017-05-31,30.45,$2.16,14.11
2017-02-28,32.4,$2.59,12.51
2016-11-30,28.69,$2.72,10.56
2016-08-31,28.13,$2.92,9.63
2016-05-31,27.43,$2.32,11.82
2016-02-29,25.1,$3.08,8.14
2015-11-30,24.28,$2.92,8.31
2015-08-31,24.57,$2.61,9.4
2015-05-31,22.63,$2.94,7.7
2015-02-28,20.37,$2.72,7.48
2014-11-30,21.12,$2.74,7.71
2014-08-31,18.48,$3.07,6.03
2014-05-31,18.39,$2.72,6.76
2014-02-28,16.04,$2.40,6.69
2013-11-30,18.49,$2.27,8.16
2013-08-31,18.81,$1.85,10.16
2013-05-31,18.61,$2.41,7.71
2013-02-28,18.71,$1.64,11.43
2012-11-30,16.25,$1.67,9.72
2012-08-31,13.54,$1.75,7.72
2012-05-31,13.43,$1.74,7.74
2012-02-29,13.89,$2.02,6.89
2011-11-30,13.25,$2.61,5.08
2011-08-31,12.69,$2.66,4.77
2011-05-31,13.09,$2.08,6.28
2011-02-28,11.81,$2.11,5.6
2010-11-30,10.85,$1.75,6.21
2010-08-31,10.79,$2.04,5.29
2010-05-31,11.99,$2.41,4.97
2010-02-28,12.03,$2.55,4.71
2009-11-30,10.82,$0.31,34.9
