Mid Penn Bancorp Price to Free Cash Flow Ratio Historical Data,Mid Penn Bancorp Price to Free Cash Flow Ratio Historical Data,Mid Penn Bancorp Price to Free Cash Flow Ratio Historical Data,Mid Penn Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.95,,9.85
2024-12-31,28.84,$2.64,10.94
2024-09-30,29.65,$3.78,7.85
2024-06-30,21.65,$3.53,6.13
2024-03-31,19.55,$3.06,6.38
2023-12-31,23.5,$3.11,7.56
2023-09-30,19.28,$3.16,6.09
2023-06-30,20.97,$3.60,5.82
2023-03-31,24.07,$3.70,6.5
2022-12-31,27.98,$3.53,7.93
2022-09-30,26.66,$4.92,5.42
2022-06-30,24.86,$4.56,5.46
2022-03-31,24.52,$4.89,5.01
2021-12-31,28.83,$5.79,4.98
2021-09-30,24.86,$5.25,4.74
2021-06-30,24.58,$4.41,5.57
2021-03-31,23.83,$2.60,9.16
2020-12-31,19.27,$1.39,13.89
2020-09-30,15.11,$-0.52,0.0
2020-06-30,15.95,$0.33,47.81
2020-03-31,17.36,$0.71,24.3
2019-12-31,24.46,$0.77,31.86
2019-09-30,21.62,$1.41,15.36
2019-06-30,20.9,$0.70,29.99
2019-03-31,20.38,$0.64,32.04
2018-12-31,18.95,$0.34,54.95
2018-09-30,23.86,$-0.23,0.0
2018-06-30,28.43,$0.02,1194.42
2018-03-31,25.92,$0.68,38.31
2017-12-31,26.85,$1.73,15.53
2017-09-30,23.56,$2.22,10.62
2017-06-30,21.53,$2.05,10.52
2017-03-31,21.63,$4.58,4.73
2016-12-31,18.82,$5.22,3.61
2016-09-30,15.23,$5.38,2.83
2016-06-30,12.35,$6.57,1.88
2016-03-31,11.43,$4.31,2.65
2015-12-31,12.22,$2.95,4.14
2015-09-30,12.24,$2.76,4.44
2015-06-30,11.58,$2.08,5.58
2015-03-31,11.62,$2.51,4.63
2014-12-31,11.48,$2.50,4.6
2014-09-30,11.23,$2.55,4.41
2014-06-30,11.46,$3.30,3.47
2014-03-31,10.67,$1.47,7.24
2013-12-31,10.29,$3.74,2.75
2013-09-30,8.12,$1.28,6.34
2013-06-30,7.87,$3.49,2.25
2013-03-31,7.9,$6.34,1.25
2012-12-31,7.87,$3.11,2.53
2012-09-30,7.3,$3.49,2.09
2012-06-30,7.59,$1.39,5.46
2012-03-31,6.96,$-0.48,0.0
2011-12-31,5.17,$2.01,2.57
2011-09-30,5.45,$3.79,1.44
2011-06-30,5.55,$2.71,2.04
2011-03-31,5.98,$3.21,1.87
2010-12-31,5.02,$1.58,3.18
2010-09-30,4.62,$0.72,6.45
2010-06-30,6.12,$0.53,11.51
2010-03-31,6.69,$0.41,16.18
2009-12-31,6.89,$0.18,37.38
