Nexstar Media Price to Free Cash Flow Ratio Historical Data,Nexstar Media Price to Free Cash Flow Ratio Historical Data,Nexstar Media Price to Free Cash Flow Ratio Historical Data,Nexstar Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,177.38,,5.24
2024-12-31,157.97,$33.85,4.67
2024-09-30,165.35,$26.51,6.24
2024-06-30,166.01,$18.51,8.97
2024-03-31,172.29,$18.53,9.3
2023-12-31,156.75,$23.94,6.55
2023-09-30,143.37,$28.34,5.06
2023-06-30,166.55,$34.25,4.86
2023-03-31,172.66,$37.56,4.6
2022-12-31,175.03,$37.00,4.73
2022-09-30,166.85,$34.51,4.83
2022-06-30,162.14,$31.29,5.18
2022-03-31,186.62,$26.70,6.99
2021-12-31,148.75,$24.19,6.15
2021-09-30,149.1,$25.34,5.88
2021-06-30,144.41,$21.62,6.68
2021-03-31,136.49,$23.97,5.69
2020-12-31,105.54,$22.26,4.74
2020-09-30,86.36,$15.33,5.63
2020-06-30,79.87,$14.11,5.66
2020-03-31,54.67,$10.12,5.4
2019-12-31,110.54,$4.68,23.61
2019-09-30,96.03,$8.86,10.84
2019-06-30,94.37,$10.80,8.74
2019-03-31,100.85,$12.04,8.38
2018-12-31,72.79,$13.39,5.43
2018-09-30,74.99,$9.59,7.82
2018-06-30,67.29,$5.21,12.92
2018-03-31,60.61,$5.93,10.22
2017-12-31,70.92,$1.20,59.02
2017-09-30,56.24,$3.87,14.54
2017-06-30,53.73,$7.03,7.65
2017-03-31,62.72,$5.25,11.96
2016-12-31,56.34,$7.99,7.05
2016-09-30,51.11,$6.60,7.74
2016-06-30,41.94,$6.46,6.49
2016-03-31,38.84,$5.64,6.89
2015-12-31,51.16,$5.61,9.13
2015-09-30,41.13,$5.01,8.21
2015-06-30,48.47,$4.68,10.36
2015-03-31,49.35,$4.64,10.62
2014-12-31,44.51,$4.56,9.77
2014-09-30,34.61,$2.67,12.95
2014-06-30,44.05,$2.24,19.66
2014-03-31,31.9,$1.36,23.53
2013-12-31,47.21,$0.28,167.19
2013-09-30,37.61,$1.07,35.14
2013-06-30,29.85,$0.91,32.83
2013-03-31,15.09,$1.50,10.07
2012-12-31,8.81,$2.01,4.38
2012-09-30,8.83,$1.99,4.44
2012-06-30,5.6,$1.57,3.57
2012-03-31,6.91,$1.19,5.81
2011-12-31,6.52,$0.95,6.88
2011-09-30,5.5,$1.21,4.55
2011-06-30,6.83,$1.62,4.21
2011-03-31,7.21,$1.72,4.19
2010-12-31,4.98,$1.62,3.08
2010-09-30,4.28,$1.55,2.77
2010-06-30,3.64,$0.94,3.89
2010-03-31,4.1,$0.76,5.41
2009-12-31,3.37,$0.15,23.04
