Tenaris S.A Price to Free Cash Flow Ratio Historical Data,Tenaris S.A Price to Free Cash Flow Ratio Historical Data,Tenaris S.A Price to Free Cash Flow Ratio Historical Data,Tenaris S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.9,,8.8
2024-09-30,31.33,$4.53,6.91
2024-06-30,30.08,$5.70,5.28
2024-03-31,37.83,$6.30,6.0
2023-12-31,33.48,$6.43,5.21
2023-09-30,30.09,$5.99,5.03
2023-06-30,28.52,$4.26,6.69
2023-03-31,26.38,$2.94,8.98
2022-12-31,32.64,$1.42,23.01
2022-09-30,23.74,$0.69,34.58
2022-06-30,23.6,$0.47,49.85
2022-03-31,27.17,$-0.37,0.0
2021-12-31,18.84,$-0.17,0.0
2021-09-30,18.84,$0.03,546.08
2021-06-30,19.54,$0.71,27.54
2021-03-31,20.0,$1.56,12.79
2020-12-31,14.06,$2.27,6.19
2020-09-30,8.61,$2.41,3.57
2020-06-30,11.3,$2.24,5.04
2020-03-31,10.11,$1.98,5.11
2019-12-31,19.0,$2.00,9.5
2019-09-30,17.56,$1.96,8.95
2019-06-30,21.81,$1.42,15.32
2019-03-31,22.95,$1.43,16.09
2018-12-31,17.32,$0.44,39.13
2018-09-30,26.98,$-0.06,0.0
2018-06-30,29.29,$-0.25,0.0
2018-03-31,27.52,$-0.99,0.0
2017-12-31,25.29,$-0.97,0.0
2017-09-30,22.27,$-1.15,0.0
2017-06-30,24.5,$-0.76,0.0
2017-03-31,26.4,$-0.15,0.0
2016-12-31,27.62,$0.17,162.55
2016-09-30,21.78,$0.43,51.11
2016-06-30,22.12,$0.77,28.78
2016-03-31,18.56,$0.96,19.26
2015-12-31,17.84,$1.88,9.51
2015-09-30,17.86,$3.46,5.17
2015-06-30,20.02,$3.57,5.6
2015-03-31,20.34,$3.66,5.55
2014-12-31,21.95,$3.35,6.56
2014-09-30,32.82,$2.33,14.08
2014-06-30,33.97,$2.68,12.68
2014-03-31,31.44,$2.84,11.08
2013-12-31,31.04,$2.76,11.25
2013-09-30,33.05,$2.60,12.7
2013-06-30,28.45,$2.17,13.1
2013-03-31,28.42,$1.79,15.85
2012-12-31,29.21,$1.84,15.88
2012-09-30,28.22,$2.07,13.65
2012-06-30,24.2,$1.73,13.99
2012-03-31,26.07,$1.50,17.4
2011-12-31,25.36,$0.73,34.89
2011-09-30,17.22,$0.18,94.16
2011-06-30,30.95,$-0.14,0.0
2011-03-31,33.15,$-0.49,0.0
2010-12-31,32.83,$0.06,594.77
2010-09-30,25.6,$0.29,89.2
2010-06-30,23.06,$1.52,15.14
2010-03-31,28.3,$3.59,7.89
2009-12-31,28.11,$4.13,6.8
