TrueBlue Price to Free Cash Flow Ratio Historical Data,TrueBlue Price to Free Cash Flow Ratio Historical Data,TrueBlue Price to Free Cash Flow Ratio Historical Data,TrueBlue Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.8,,0.0
2024-12-31,8.4,$-1.37,0.0
2024-09-30,7.89,$-1.19,0.0
2024-06-30,10.3,$-1.02,0.0
2024-03-31,12.52,$-0.62,0.0
2023-12-31,15.34,$0.11,138.07
2023-09-30,14.67,$0.82,17.79
2023-06-30,17.71,$1.67,10.59
2023-03-31,17.8,$2.12,8.39
2022-12-31,19.58,$2.69,7.29
2022-09-30,19.08,$2.13,8.95
2022-06-30,17.9,$-0.01,0.0
2022-03-31,28.89,$-0.32,0.0
2021-12-31,27.67,$-0.41,0.0
2021-09-30,27.08,$0.39,69.78
2021-06-30,28.11,$1.71,16.47
2021-03-31,22.02,$3.51,6.28
2020-12-31,18.69,$3.55,5.27
2020-09-30,15.49,$3.16,4.9
2020-06-30,15.27,$3.63,4.2
2020-03-31,12.76,$1.83,6.98
2019-12-31,24.06,$1.67,14.41
2019-09-30,21.1,$2.12,9.97
2019-06-30,22.06,$2.29,9.63
2019-03-31,23.64,$2.04,11.61
2018-12-31,22.25,$2.70,8.25
2018-09-30,26.05,$1.78,14.64
2018-06-30,26.95,$1.63,16.51
2018-03-31,25.9,$1.80,14.41
2017-12-31,27.5,$1.89,14.58
2017-09-30,22.45,$2.48,9.07
2017-06-30,26.5,$2.73,9.71
2017-03-31,27.35,$2.96,9.24
2016-12-31,24.65,$5.56,4.43
2016-09-30,22.66,$3.35,6.76
2016-06-30,18.92,$3.04,6.21
2016-03-31,26.15,$2.81,9.32
2015-12-31,25.76,$1.29,19.97
2015-09-30,22.47,$2.12,10.6
2015-06-30,29.9,$2.58,11.59
2015-03-31,24.35,$2.45,9.93
2014-12-31,22.25,$0.74,29.93
2014-09-30,25.26,$2.16,11.72
2014-06-30,27.57,$1.94,14.19
2014-03-31,29.26,$2.27,12.87
2013-12-31,25.78,$1.80,14.29
2013-09-30,24.01,$1.25,19.26
2013-06-30,21.05,$0.83,25.38
2013-03-31,21.14,$0.57,37.17
2012-12-31,15.75,$0.87,18.2
2012-09-30,15.72,$0.73,21.61
2012-06-30,15.48,$1.01,15.39
2012-03-31,17.88,$0.99,18.11
2011-12-31,13.88,$0.49,28.13
2011-09-30,11.33,$0.84,13.54
2011-06-30,14.48,$0.56,25.88
2011-03-31,16.79,$0.60,28.14
2010-12-31,17.99,$0.80,22.43
2010-09-30,13.65,$0.82,16.63
2010-06-30,11.19,$0.65,17.19
2010-03-31,15.5,$0.56,27.68
2009-12-31,14.81,$0.48,31.15
