TOP Ships Price to Free Cash Flow Ratio Historical Data,TOP Ships Price to Free Cash Flow Ratio Historical Data,TOP Ships Price to Free Cash Flow Ratio Historical Data,TOP Ships Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.11,,0.0
2014-12-31,100000000.0,$-31.02,0.0
2014-09-30,100000000.0,$40.47,2470898.99
2014-06-30,100000000.0,$40.26,2483978.34
2014-03-31,100000000.0,$53.47,1870365.0
2013-12-31,100000000.0,$57.03,1753586.08
2013-09-30,100000000.0,$14.36,6965777.14
2013-06-30,100000000.0,$13.28,7528759.86
2013-03-31,100000000.0,$1.27,78474456.56
2012-12-31,100000000.0,0,0.0
2012-06-30,100000000.0,0,0.0
2011-12-31,100000000.0,0,0.0
2011-06-30,100000000.0,0,0.0
2011-03-31,100000000.0,0,0.0
2010-12-31,100000000.0,0,0.0
2010-09-30,100000000.0,0,0.0
2010-06-30,100000000.0,0,0.0
2010-03-31,100000000.0,0,0.0
2009-12-31,100000000.0,0,0.0
