Genesco Price to Free Cash Flow Ratio Historical Data,Genesco Price to Free Cash Flow Ratio Historical Data,Genesco Price to Free Cash Flow Ratio Historical Data,Genesco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.04,,4.91
2024-10-31,25.62,$4.49,5.7
2024-07-31,30.83,$6.54,4.71
2024-04-30,25.31,$5.97,4.24
2024-01-31,27.78,$3.08,9.03
2023-10-31,27.41,$-1.35,0.0
2023-07-31,28.21,$-3.55,0.0
2023-04-30,34.66,$-16.22,0.0
2023-01-31,48.29,$-17.69,0.0
2022-10-31,47.04,$-16.88,0.0
2022-07-31,56.05,$-12.54,0.0
2022-04-30,62.03,$3.98,15.6
2022-01-31,64.33,$14.20,4.53
2021-10-31,60.59,$15.13,4.0
2021-07-31,57.45,$14.13,4.06
2021-04-30,50.0,$14.03,3.56
2021-01-31,38.81,$9.40,4.13
2020-10-31,17.72,$9.17,1.93
2020-07-31,15.55,$11.32,1.37
2020-04-30,18.93,$5.45,3.47
2020-01-31,39.32,$5.58,7.05
2019-10-31,38.85,$7.40,5.25
2019-07-31,39.38,$5.41,7.28
2019-04-30,44.81,$7.89,5.68
2019-01-31,45.18,$9.24,4.89
2018-10-31,42.79,$8.52,5.02
2018-07-31,40.7,$7.35,5.54
2018-04-30,42.75,$3.45,12.4
2018-01-31,34.85,$1.92,18.17
2017-10-31,24.5,$0.88,27.7
2017-07-31,32.1,$-0.94,0.0
2017-04-30,53.3,$0.98,54.22
2017-01-31,60.2,$3.53,17.04
2016-10-31,53.8,$5.45,9.88
2016-07-31,69.42,$7.79,8.91
2016-04-30,69.18,$3.24,21.38
2016-01-31,66.14,$2.13,31.03
2015-10-31,62.65,$0.15,407.35
2015-07-31,64.69,$-0.44,0.0
2015-04-30,67.59,$2.08,32.49
2015-01-31,71.45,$3.66,19.55
2014-10-31,76.69,$0.70,109.79
2014-07-31,76.27,$0.75,102.03
2014-04-30,76.37,$2.05,37.29
2014-01-31,70.22,$1.76,39.84
2013-10-31,68.11,$1.93,35.3
2013-07-31,70.38,$3.52,19.97
2013-04-30,61.55,$2.66,23.17
2013-01-31,62.33,$2.14,29.06
2012-10-31,57.3,$3.16,18.15
2012-07-31,66.22,$3.55,18.67
2012-04-30,75.0,$3.68,20.37
2012-01-31,61.07,$4.05,15.06
2011-10-31,58.94,$1.86,31.61
2011-07-31,51.8,$1.47,35.18
2011-04-30,40.38,$2.00,20.2
2011-01-31,37.13,$3.13,11.88
2010-10-31,32.76,$3.45,9.48
2010-07-31,27.29,$3.94,6.93
2010-04-30,33.29,$5.19,6.41
2010-01-31,23.58,$4.61,5.12
2009-10-31,26.07,$6.81,3.83
