Arch Capital Group Price to Free Cash Flow Ratio Historical Data,Arch Capital Group Price to Free Cash Flow Ratio Historical Data,Arch Capital Group Price to Free Cash Flow Ratio Historical Data,Arch Capital Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,92.45,,5.33
2024-12-31,92.35,$17.34,5.32
2024-09-30,106.39,$17.61,6.04
2024-06-30,95.94,$17.53,5.47
2024-03-31,87.91,$16.59,5.3
2023-12-31,70.63,$15.04,4.7
2023-09-30,75.8,$13.16,5.76
2023-06-30,71.18,$11.70,6.08
2023-03-31,64.54,$11.09,5.82
2022-12-31,59.7,$9.97,5.99
2022-09-30,43.31,$9.42,4.6
2022-06-30,43.26,$8.33,5.19
2022-03-31,46.05,$8.03,5.74
2021-12-31,42.27,$8.45,5.0
2021-09-30,36.31,$7.82,4.64
2021-06-30,37.03,$7.65,4.84
2021-03-31,36.49,$7.32,4.99
2020-12-31,34.3,$6.94,4.94
2020-09-30,27.82,$6.85,4.06
2020-06-30,27.25,$6.39,4.27
2020-03-31,27.06,$5.79,4.68
2019-12-31,40.79,$4.88,8.35
2019-09-30,39.92,$4.70,8.5
2019-06-30,35.26,$4.23,8.34
2019-03-31,30.74,$3.31,9.29
2018-12-31,25.41,$3.70,6.86
2018-09-30,28.35,$2.66,10.65
2018-06-30,25.16,$2.49,10.12
2018-03-31,27.13,$3.09,8.79
2017-12-31,28.77,$2.57,11.21
2017-09-30,31.22,$3.48,8.96
2017-06-30,29.57,$3.46,8.54
2017-03-31,30.04,$3.22,9.34
2016-12-31,27.35,$3.64,7.51
2016-09-30,25.12,$3.21,7.83
2016-06-30,22.82,$3.01,7.59
2016-03-31,22.54,$3.24,6.96
2015-12-31,22.11,$2.60,8.51
2015-09-30,23.29,$2.71,8.59
2015-06-30,21.23,$2.46,8.65
2015-03-31,19.53,$2.26,8.66
2014-12-31,18.73,$2.51,7.45
2014-09-30,17.35,$2.46,7.04
2014-06-30,18.21,$2.19,8.32
2014-03-31,18.24,$2.02,9.03
2013-12-31,18.92,$2.05,9.25
2013-09-30,17.16,$1.96,8.75
2013-06-30,16.3,$2.18,7.48
2013-03-31,16.66,$2.34,7.12
2012-12-31,13.95,$2.18,6.41
2012-09-30,13.2,$1.97,6.71
2012-06-30,12.58,$1.93,6.53
2012-03-31,11.8,$1.86,6.34
2011-12-31,11.8,$2.04,5.78
2011-09-30,10.36,$2.07,5.01
2011-06-30,10.12,$1.92,5.26
2011-03-31,10.48,$1.82,5.76
2010-12-31,9.3,$1.67,5.56
2010-09-30,8.85,$1.74,5.08
2010-06-30,7.87,$1.64,4.79
2010-03-31,8.06,$1.60,5.03
2009-12-31,7.56,$1.75,4.33
