Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data,Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data,Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data,Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.99,,0.0
2024-12-31,27.16,$-1.19,0.0
2024-09-30,29.49,$-1.05,0.0
2024-06-30,26.03,$0.05,535.68
2024-03-31,28.88,$0.48,60.41
2023-12-31,24.31,$1.10,22.1
2023-09-30,21.88,$1.54,14.22
2023-06-30,23.5,$1.68,13.99
2023-03-31,24.83,$1.97,12.6
2022-12-31,21.59,$1.75,12.35
2022-09-30,19.06,$0.33,56.94
2022-06-30,19.73,$-0.74,0.0
2022-03-31,19.22,$-0.97,0.0
2021-12-31,18.63,$-0.65,0.0
2021-09-30,18.12,$0.36,50.92
2021-06-30,17.2,$1.08,15.88
2021-03-31,17.14,$1.11,15.43
2020-12-31,15.93,$0.64,24.88
2020-09-30,13.18,$0.69,19.18
2020-06-30,13.02,$0.81,16.0
2020-03-31,11.29,$1.10,10.26
2019-12-31,15.32,$1.06,14.43
2019-09-30,13.51,$-0.25,0.0
2019-06-30,12.74,$-1.13,0.0
2019-03-31,11.45,$-2.26,0.0
2018-12-31,9.59,$-2.32,0.0
2018-09-30,12.54,$-2.24,0.0
2018-06-30,12.92,$-2.15,0.0
2018-03-31,13.59,$-1.80,0.0
2017-12-31,13.62,$-1.43,0.0
2017-09-30,12.23,$-2.13,0.0
2017-06-30,12.02,$-1.67,0.0
2017-03-31,11.16,$-1.08,0.0
2016-12-31,10.76,$-0.69,0.0
2016-09-30,11.99,$0.96,12.55
2016-06-30,10.71,$1.08,9.91
2016-03-31,10.93,$1.01,10.87
2015-12-31,10.87,$1.04,10.42
2015-09-30,10.79,$0.96,11.21
2015-06-30,11.71,$1.01,11.63
2015-03-31,12.18,$1.28,9.55
2014-12-31,11.37,$1.50,7.58
2014-09-30,10.38,$1.46,7.12
2014-06-30,9.77,$1.49,6.54
2014-03-31,8.48,$1.17,7.22
2013-12-31,8.02,$0.92,8.7
2013-09-30,7.15,$0.79,9.1
2013-06-30,6.46,$0.60,10.74
2013-03-31,6.25,$0.61,10.33
2012-12-31,5.39,$0.72,7.52
2012-09-30,4.85,$0.82,5.95
2012-06-30,4.59,$0.67,6.87
2012-03-31,4.61,$0.67,6.84
2011-12-31,3.56,$0.60,5.9
2011-09-30,2.88,$0.58,4.99
2011-06-30,4.54,$0.58,7.85
2011-03-31,4.53,$0.66,6.89
2010-12-31,3.25,$0.62,5.24
2010-09-30,2.79,$0.70,3.97
2010-06-30,2.63,$0.93,2.81
2010-03-31,3.01,$1.08,2.78
2009-12-31,2.9,$1.11,2.6
