Lesaka Technologies Price to Free Cash Flow Ratio Historical Data,Lesaka Technologies Price to Free Cash Flow Ratio Historical Data,Lesaka Technologies Price to Free Cash Flow Ratio Historical Data,Lesaka Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.63,,907.65
2024-12-31,5.45,$0.01,0.0
2024-09-30,5.0,$0.16,31.59
2024-06-30,4.68,$0.29,16.21
2024-03-31,3.75,$0.38,9.91
2023-12-31,3.24,$-0.04,0.0
2023-09-30,3.9,$-0.03,0.0
2023-06-30,3.81,$-0.24,0.0
2023-03-31,4.8,$-0.50,0.0
2022-12-31,4.55,$-0.49,0.0
2022-09-30,3.52,$-0.70,0.0
2022-06-30,5.14,$-0.66,0.0
2022-03-31,5.87,$-0.66,0.0
2021-12-31,5.32,$-0.67,0.0
2021-09-30,4.65,$-0.71,0.0
2021-06-30,4.71,$-1.10,0.0
2021-03-31,5.6,$-1.45,0.0
2020-12-31,4.92,$-1.40,0.0
2020-09-30,3.37,$-1.07,0.0
2020-06-30,3.04,$-0.90,0.0
2020-03-31,2.91,$-0.46,0.0
2019-12-31,3.72,$-0.64,0.0
2019-09-30,3.57,$-0.84,0.0
2019-06-30,4.0,$-0.23,0.0
2019-03-31,3.59,$0.42,8.49
2018-12-31,4.69,$2.15,2.19
2018-09-30,8.0,$2.48,3.22
2018-06-30,9.08,$2.21,4.12
2018-03-31,9.46,$1.67,5.67
2017-12-31,11.89,$0.55,21.76
2017-09-30,9.74,$0.63,15.38
2017-06-30,9.86,$1.62,6.09
2017-03-31,12.23,$2.13,5.75
2016-12-31,11.48,$2.71,4.24
2016-09-30,8.56,$2.30,3.72
2016-06-30,9.99,$1.73,5.78
2016-03-31,9.2,$1.60,5.76
2015-12-31,13.51,$1.62,8.33
2015-09-30,16.74,$1.88,8.9
2015-06-30,18.28,$2.15,8.51
2015-03-31,13.68,$2.28,6.01
2014-12-31,11.4,$2.01,5.68
2014-09-30,12.05,$1.16,10.39
2014-06-30,11.38,$0.35,32.34
2014-03-31,9.96,$0.22,45.33
2013-12-31,8.73,$-0.28,0.0
2013-09-30,12.0,$0.16,75.02
2013-06-30,7.36,$0.75,9.87
2013-03-31,7.4,$-0.52,0.0
2012-12-31,5.11,$-0.50,0.0
2012-09-30,9.05,$-0.48,0.0
2012-06-30,8.37,$-0.40,0.0
2012-03-31,9.04,$0.61,14.88
2011-12-31,7.67,$0.95,8.11
2011-09-30,6.5,$0.99,6.54
2011-06-30,8.68,$1.14,7.65
2011-03-31,8.6,$0.63,13.64
2010-12-31,12.26,$0.79,15.59
2010-09-30,11.56,$1.33,8.72
2010-06-30,13.41,$1.42,9.43
2010-03-31,18.39,$3.30,5.57
2009-12-31,19.4,$2.89,6.72
