Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data,Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data,Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data,Old Dominion Freight Line Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,161.13,,38.41
2024-12-31,176.4,$4.19,42.05
2024-09-30,198.4,$4.75,41.78
2024-06-30,176.15,$4.92,35.79
2024-03-31,218.43,$4.44,49.15
2023-12-31,201.6,$3.91,51.59
2023-09-30,203.29,$2.68,75.96
2023-06-30,183.55,$3.00,61.26
2023-03-31,168.98,$3.69,45.84
2022-12-31,140.52,$4.15,33.86
2022-09-30,123.06,$4.51,27.26
2022-06-30,126.63,$3.82,33.18
2022-03-31,147.41,$3.12,47.29
2021-12-31,176.71,$2.93,60.32
2021-09-30,140.93,$2.96,47.55
2021-06-30,124.98,$2.68,46.61
2021-03-31,118.3,$3.50,33.79
2020-12-31,95.96,$3.00,31.96
2020-09-30,88.88,$2.75,32.3
2020-06-30,83.26,$2.84,29.32
2020-03-31,64.38,$2.20,29.29
2019-12-31,61.98,$2.12,29.3
2019-09-30,55.46,$2.03,27.34
2019-06-30,48.65,$1.72,28.35
2019-03-31,47.01,$1.40,33.49
2018-12-31,40.15,$1.30,30.99
2018-09-30,52.39,$1.08,48.41
2018-06-30,48.35,$0.98,49.36
2018-03-31,47.66,$0.90,53.11
2017-12-31,42.62,$0.67,63.32
2017-09-30,35.65,$0.82,43.55
2017-06-30,30.8,$0.87,35.48
2017-03-31,27.65,$0.67,41.55
2016-12-31,27.69,$0.63,43.66
2016-09-30,22.14,$0.59,37.28
2016-06-30,19.46,$0.32,60.24
2016-03-31,22.47,$0.25,89.51
2015-12-31,19.06,$0.45,42.0
2015-09-30,19.69,$0.35,56.34
2015-06-30,22.14,$0.38,58.39
2015-03-31,24.95,$0.49,50.94
2014-12-31,25.06,$0.18,141.24
2014-09-30,22.8,$0.07,322.9
2014-06-30,20.55,$0.16,127.96
2014-03-31,18.31,$0.20,93.38
2013-12-31,17.11,$0.26,66.71
2013-09-30,14.84,$0.32,46.83
2013-06-30,13.43,$0.14,97.76
2013-03-31,12.33,$0.06,216.28
2012-12-31,11.06,$-0.13,0.0
2012-09-30,9.73,$-0.17,0.0
2012-06-30,9.31,$-0.04,0.0
2012-03-31,10.26,$0.02,490.72
2011-12-31,8.72,$0.13,68.77
2011-09-30,6.23,$-0.04,0.0
2011-06-30,8.03,$-0.02,0.0
2011-03-31,7.55,$0.18,41.94
2010-12-31,6.88,$0.15,47.11
2010-09-30,5.47,$0.20,26.89
2010-06-30,5.04,$0.08,61.09
2010-03-31,4.79,$-0.10,0.0
2009-12-31,4.4,$-0.31,0.0
