Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data,Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data,Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data,Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,105.41,,24.64
2024-12-31,78.21,$4.28,18.28
2024-09-30,80.18,$3.77,21.28
2024-06-30,64.77,$2.70,23.98
2024-03-31,58.73,$2.16,27.14
2023-12-31,53.56,$1.93,27.7
2023-09-30,44.05,$1.30,33.76
2023-06-30,48.05,$1.45,33.17
2023-03-31,48.62,$1.28,38.01
2022-12-31,49.16,$1.27,38.61
2022-09-30,39.62,$1.38,28.75
2022-06-30,42.52,$1.26,33.72
2022-03-31,56.48,$1.68,33.55
2021-12-31,48.66,$1.84,26.4
2021-09-30,47.15,$2.47,19.07
2021-06-30,54.64,$3.38,16.16
2021-03-31,52.0,$2.52,20.61
2020-12-31,63.02,$1.78,35.33
2020-09-30,70.77,$1.31,54.23
2020-06-30,56.8,$0.62,91.47
2020-03-31,35.17,$0.22,160.32
2019-12-31,54.24,$0.01,4758.06
2019-09-30,47.06,$-1.12,0.0
2019-06-30,44.89,$-2.27,0.0
2019-03-31,37.99,$-2.24,0.0
2018-12-31,35.18,$-1.92,0.0
2018-09-30,29.78,$-1.60,0.0
2018-06-30,39.78,$-1.14,0.0
2018-03-31,36.43,$-0.78,0.0
2017-12-31,39.88,$-0.46,0.0
2017-09-30,38.94,$-0.09,0.0
2017-06-30,38.79,$0.86,45.18
2017-03-31,36.41,$1.37,26.57
2016-12-31,35.94,$1.16,30.9
2016-09-30,46.26,$1.39,33.2
2016-06-30,45.59,$0.80,56.68
2016-03-31,30.76,$0.69,44.65
2015-12-31,22.3,$0.77,29.08
2015-09-30,21.42,$0.94,22.84
2015-06-30,23.92,$0.46,52.49
2015-03-31,23.5,$0.41,57.28
2014-12-31,20.88,$0.98,21.24
2014-09-30,24.28,$0.79,30.82
2014-06-30,31.97,$0.82,38.79
2014-03-31,25.18,$-0.04,0.0
2013-12-31,21.91,$-0.81,0.0
2013-09-30,21.8,$-1.09,0.0
2013-06-30,22.52,$-0.24,0.0
2013-03-31,33.33,$0.85,39.43
2012-12-31,42.38,$1.46,29.02
2012-09-30,41.76,$1.87,22.33
2012-06-30,32.43,$1.58,20.48
2012-03-31,26.62,$1.34,19.83
2011-12-31,28.8,$1.09,26.46
2011-09-30,47.02,$0.86,54.54
2011-06-30,49.76,$0.55,91.05
2011-03-31,52.17,$0.54,95.81
2010-12-31,60.17,$-0.15,0.0
2010-09-30,55.72,$-0.83,0.0
2010-06-30,47.68,$-1.89,0.0
2010-03-31,43.67,$-2.98,0.0
2009-12-31,42.1,$-3.42,0.0
