SBC Medicals Price to Free Cash Flow Ratio Historical Data,SBC Medicals Price to Free Cash Flow Ratio Historical Data,SBC Medicals Price to Free Cash Flow Ratio Historical Data,SBC Medicals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.7,,0.0
2024-09-30,7.97,$-2.15,0.0
2024-06-30,13.07,$-1.02,0.0
2024-03-31,12.7,$-1.98,0.0
2023-12-31,10.77,$-2.12,0.0
2023-09-30,10.68,$0.43,24.6
2023-06-30,10.29,$-1.09,0.0
