Smith & Wesson Brands Price to Free Cash Flow Ratio Historical Data,Smith & Wesson Brands Price to Free Cash Flow Ratio Historical Data,Smith & Wesson Brands Price to Free Cash Flow Ratio Historical Data,Smith & Wesson Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.52,,0.0
2025-01-31,10.49,$-0.52,0.0
2024-10-31,12.96,$0.02,825.16
2024-07-31,16.39,$-0.56,0.0
2024-04-30,16.66,$0.41,40.68
2024-01-31,12.73,$-0.14,0.0
2023-10-31,14.23,$-0.74,0.0
2023-07-31,12.18,$-1.30,0.0
2023-04-30,11.4,$-1.57,0.0
2023-01-31,10.41,$-1.53,0.0
2022-10-31,10.48,$-1.03,0.0
2022-07-31,13.38,$0.19,71.93
2022-04-30,12.53,$2.39,5.25
2022-01-31,15.51,$4.17,3.72
2021-10-31,19.44,$5.13,3.79
2021-07-31,21.12,$6.03,3.5
2021-04-30,15.64,$5.31,2.95
2021-01-31,14.84,$5.31,2.79
2020-10-31,14.83,$4.40,3.37
2020-07-31,21.28,$3.46,6.15
2020-04-30,8.43,$1.48,5.7
2020-01-31,8.39,$-0.06,0.0
2019-10-31,6.31,$-0.11,0.0
2019-07-31,8.59,$-0.17,0.0
2019-04-30,8.78,$0.50,17.59
2019-01-31,10.75,$1.05,10.23
2018-10-31,12.19,$1.36,8.97
2018-07-31,8.44,$1.58,5.33
2018-04-30,9.8,$0.79,12.45
2018-01-31,10.63,$-0.19,0.0
2017-10-31,12.77,$0.15,84.16
2017-07-31,18.41,$0.40,46.55
2017-04-30,19.73,$1.56,12.66
2017-01-31,18.98,$2.89,6.56
2016-10-31,23.55,$3.05,7.72
2016-07-31,26.24,$2.75,9.55
2016-04-30,19.45,$2.47,7.89
2016-01-31,19.21,$2.91,6.6
2015-10-31,15.91,$2.57,6.2
2015-07-31,14.45,$2.25,6.42
2015-04-30,13.24,$1.60,8.28
2015-01-31,10.96,$0.19,57.04
2014-10-31,9.05,$-0.24,0.0
2014-07-31,11.0,$0.01,887.3
2014-04-30,13.68,$0.62,22.2
2014-01-31,11.66,$0.67,17.34
2013-10-31,9.61,$0.86,11.15
2013-07-31,10.55,$0.93,11.37
2013-04-30,7.82,$0.87,9.03
2013-01-31,7.66,$0.68,11.31
2012-10-31,8.54,$0.45,18.86
2012-07-31,9.0,$0.71,12.7
2012-04-30,7.35,$0.35,20.93
2012-01-31,4.58,$0.37,12.44
2011-10-31,2.63,$0.12,22.58
2011-07-31,2.99,$0.19,15.93
2011-04-30,3.21,$0.29,10.98
2011-01-31,3.16,$-0.06,0.0
2010-10-31,3.34,$0.05,71.85
2010-07-31,3.43,$-0.01,0.0
2010-04-30,3.98,$0.10,41.48
2010-01-31,3.53,$0.46,7.68
2009-10-31,3.8,$1.03,3.71
