NCS Multistage Holdings Price to Free Cash Flow Ratio Historical Data,NCS Multistage Holdings Price to Free Cash Flow Ratio Historical Data,NCS Multistage Holdings Price to Free Cash Flow Ratio Historical Data,NCS Multistage Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.21,,7.81
2024-12-31,25.96,$4.64,5.6
2024-09-30,19.72,$3.01,6.56
2024-06-30,16.78,$3.60,4.66
2024-03-31,16.03,$1.39,11.53
2023-12-31,17.85,$1.38,12.98
2023-09-30,16.15,$1.86,8.68
2023-06-30,17.0,$0.65,26.09
2023-03-31,23.7,$0.94,25.31
2022-12-31,25.0,$-0.83,0.0
2022-09-30,21.75,$-1.75,0.0
2022-06-30,31.0,$2.12,14.62
2022-03-31,50.76,$2.97,17.07
2021-12-31,28.99,$4.79,6.05
2021-09-30,28.56,$11.56,2.47
2021-06-30,31.53,$6.61,4.77
2021-03-31,27.75,$12.33,2.25
2020-12-31,22.51,$14.43,1.56
2020-09-30,11.88,$11.02,1.08
2020-06-30,11.56,$12.95,0.89
2020-03-31,12.8,$9.33,1.37
2019-12-31,42.0,$5.66,7.42
2019-09-30,40.0,$1.51,26.55
2019-06-30,71.0,$0.35,204.38
2019-03-31,103.6,$3.10,33.46
2018-12-31,101.8,$1.47,69.26
2018-09-30,330.2,$6.30,52.41
2018-06-30,290.6,$5.53,52.53
2018-03-31,300.0,$1.14,262.58
