Marchex Price to Free Cash Flow Ratio Historical Data,Marchex Price to Free Cash Flow Ratio Historical Data,Marchex Price to Free Cash Flow Ratio Historical Data,Marchex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,0.0
2024-12-31,1.75,$-0.03,0.0
2024-09-30,1.87,$-0.03,0.0
2024-06-30,1.54,$-0.04,0.0
2024-03-31,1.37,$-0.07,0.0
2023-12-31,1.36,$-0.12,0.0
2023-09-30,1.45,$-0.17,0.0
2023-06-30,2.12,$-0.19,0.0
2023-03-31,1.82,$-0.16,0.0
2022-12-31,1.6,$-0.11,0.0
2022-09-30,1.68,$-0.11,0.0
2022-06-30,1.32,$-0.08,0.0
2022-03-31,2.29,$-0.09,0.0
2021-12-31,2.48,$-0.16,0.0
2021-09-30,2.99,$-0.16,0.0
2021-06-30,3.06,$-0.20,0.0
2021-03-31,2.81,$-0.17,0.0
2020-12-31,1.96,$-0.10,0.0
2020-09-30,2.12,$-0.10,0.0
2020-06-30,1.58,$-0.03,0.0
2020-03-31,1.45,$-0.08,0.0
2019-12-31,3.78,$0.07,55.1
2019-09-30,3.14,$0.12,25.36
2019-06-30,4.7,$0.14,34.61
2019-03-31,4.73,$0.13,35.83
2018-12-31,2.65,$0.07,37.38
2018-09-30,2.78,$0.05,58.28
2018-06-30,3.06,$0.05,61.82
2018-03-31,2.73,$0.07,40.09
2017-12-31,2.74,$0.00,0.0
2017-09-30,2.62,$-0.02,0.0
2017-06-30,2.53,$-0.07,0.0
2017-03-31,2.31,$-0.06,0.0
2016-12-31,2.25,$-0.10,0.0
2016-09-30,2.35,$-0.06,0.0
2016-06-30,2.7,$0.10,27.07
2016-03-31,3.78,$0.03,137.95
2015-12-31,3.3,$0.20,16.35
2015-09-30,3.42,$0.26,13.31
2015-06-30,4.2,$0.23,18.34
2015-03-31,3.45,$0.38,9.14
2014-12-31,3.86,$0.42,9.25
2014-09-30,3.47,$0.47,7.42
2014-06-30,10.04,$0.43,23.48
2014-03-31,8.76,$0.36,24.05
2013-12-31,7.19,$0.24,30.25
2013-09-30,6.05,$0.20,30.95
2013-06-30,5.01,$0.19,26.55
2013-03-31,3.5,$0.35,10.12
2012-12-31,3.42,$0.39,8.75
2012-09-30,3.06,$0.36,8.53
2012-06-30,2.85,$0.38,7.52
2012-03-31,3.5,$0.32,10.86
2011-12-31,4.88,$0.28,17.23
2011-09-30,6.62,$0.35,18.95
2011-06-30,6.9,$0.22,31.0
2011-03-31,6.1,$0.13,45.95
2010-12-31,7.38,$0.14,53.73
2010-09-30,4.2,$0.08,54.92
2010-06-30,2.96,$0.22,13.73
2010-03-31,3.91,$0.29,13.48
2009-12-31,3.87,$0.33,11.69
