EZCORP Price to Free Cash Flow Ratio Historical Data,EZCORP Price to Free Cash Flow Ratio Historical Data,EZCORP Price to Free Cash Flow Ratio Historical Data,EZCORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.88,,13.86
2024-12-31,12.22,$1.00,12.2
2024-09-30,11.21,$0.92,12.16
2024-06-30,10.47,$0.87,12.09
2024-03-31,11.33,$0.52,21.59
2023-12-31,8.74,$0.87,10.04
2023-09-30,8.25,$0.76,10.87
2023-06-30,8.38,$0.59,14.25
2023-03-31,8.6,$0.69,12.52
2022-12-31,8.15,$0.42,19.19
2022-09-30,7.71,$0.42,18.34
2022-06-30,7.51,$0.45,16.84
2022-03-31,6.04,$0.47,12.97
2021-12-31,7.37,$0.60,12.35
2021-09-30,7.57,$0.41,18.54
2021-06-30,6.03,$0.06,104.51
2021-03-31,4.97,$0.39,12.63
2020-12-31,4.79,$0.53,9.07
2020-09-30,5.03,$0.37,13.54
2020-06-30,6.3,$1.07,5.88
2020-03-31,4.17,$0.66,6.35
2019-12-31,6.82,$0.54,12.6
2019-09-30,6.46,$1.16,5.59
2019-06-30,9.47,$0.96,9.91
2019-03-31,9.32,$1.04,8.94
2018-12-31,7.73,$0.98,7.88
2018-09-30,10.7,$0.84,12.77
2018-06-30,12.05,$0.70,17.13
2018-03-31,13.2,$0.70,18.94
2017-12-31,12.2,$0.79,15.5
2017-09-30,9.5,$0.47,20.12
2017-06-30,7.7,$0.44,17.6
2017-03-31,8.15,$0.28,29.1
2016-12-31,10.65,$0.97,10.99
2016-09-30,11.06,$1.01,10.97
2016-06-30,7.56,$1.46,5.19
2016-03-31,2.97,$1.58,1.88
2015-12-31,4.99,$0.99,5.06
2015-09-30,6.17,$1.02,6.03
2015-06-30,7.43,$0.97,7.64
2015-03-31,9.13,$0.76,12.07
2014-12-31,11.75,$0.76,15.45
2014-09-30,9.91,$1.15,8.6
2014-06-30,11.55,$0.85,13.54
2014-03-31,10.79,$0.87,12.42
2013-12-31,11.69,$1.29,9.1
2013-09-30,16.87,$1.37,12.29
2013-06-30,16.91,$1.55,10.89
2013-03-31,21.3,$1.67,12.73
2012-12-31,19.89,$1.53,13.01
2012-09-30,22.93,$1.83,12.56
2012-06-30,23.46,$2.21,10.62
2012-03-31,32.46,$2.73,11.88
2011-12-31,26.37,$2.53,10.41
2011-09-30,28.54,$2.37,12.07
2011-06-30,35.58,$2.40,14.83
2011-03-31,31.39,$2.25,13.97
2010-12-31,27.13,$1.94,13.97
2010-09-30,20.04,$2.02,9.9
2010-06-30,18.55,$1.65,11.27
2010-03-31,20.6,$1.54,13.41
2009-12-31,17.2,$1.92,8.94
