Coinbase Global Price to Free Cash Flow Ratio Historical Data,Coinbase Global Price to Free Cash Flow Ratio Historical Data,Coinbase Global Price to Free Cash Flow Ratio Historical Data,Coinbase Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,190.38,,20.36
2024-12-31,248.3,$9.35,26.55
2024-09-30,178.17,$5.67,31.42
2024-06-30,222.23,$4.37,50.89
2024-03-31,265.12,$3.16,83.81
2023-12-31,173.92,$3.63,47.94
2023-09-30,75.08,$0.76,98.44
2023-06-30,71.55,$-2.35,0.0
2023-03-31,67.57,$-3.81,0.0
2022-12-31,35.39,$-7.13,0.0
2022-09-30,64.49,$-16.54,0.0
2022-06-30,47.02,$-13.67,0.0
2022-03-31,189.86,$16.93,11.21
