Bogota Financial Price to Free Cash Flow Ratio Historical Data,Bogota Financial Price to Free Cash Flow Ratio Historical Data,Bogota Financial Price to Free Cash Flow Ratio Historical Data,Bogota Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.73,,0.0
2024-09-30,8.29,$-0.18,0.0
2024-06-30,6.73,$-0.16,0.0
2024-03-31,7.08,$-0.24,0.0
2023-12-31,8.05,$0.09,92.74
2023-09-30,7.39,$0.23,31.89
2023-06-30,8.16,$0.44,18.42
2023-03-31,10.0,$0.28,35.73
2022-12-31,11.18,$0.78,14.3
2022-09-30,11.02,$-0.63,0.0
2022-06-30,11.21,$-0.49,0.0
2022-03-31,10.72,$0.24,44.24
2021-12-31,10.18,$0.32,31.41
2021-09-30,10.31,$1.60,6.46
2021-06-30,10.18,$1.29,7.92
2021-03-31,10.26,$0.79,13.05
2020-12-31,8.91,$0.33,26.72
