MDxHealth SA Price to Free Cash Flow Ratio Historical Data,MDxHealth SA Price to Free Cash Flow Ratio Historical Data,MDxHealth SA Price to Free Cash Flow Ratio Historical Data,MDxHealth SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.59,,0.0
2024-09-30,2.08,$-0.15,0.0
2024-06-30,2.39,$-0.17,0.0
2023-12-31,3.94,$-0.94,0.0
2023-09-30,2.8,$0.92,3.03
2023-06-30,3.41,$-0.44,0.0
2023-03-31,3.24,$0.34,9.49
2022-12-31,6.61,0,0.0
2022-09-30,6.75,$-1.53,0.0
